Check this.	Sjáðu þetta.
Look, you can have everything, the cars, the house, I don't care.	Þú getur fengið allt saman, bílana, húsið, mér er sama.
I just... I just wanna know the name of the man that is with my wife.	Ég vil bara vita nafnið á manninum sem er með konunni minni.
Jack?	Jack?
Can you hear me in there?	Heyrirðu í mér þarna inni?
Is that a yes?	Er þetta já?
Where are my friends?	Hvar eru vinir mínir?
Come down from the table.	Komdu niður af borðinu.
You want me to come down, come in here and get me down.	Ef þú vilt að ég komi niður, komdu þá inn og fáðu mig til þess.
If you wanna talk, I'm happy to.	Ef þú vilt tala, þá er ég reiðbúin.
Tell me where my friends are!	Segðu mér hvar vinir mínir eru!
I will if you let go of the chain.	Ég segi þér það ef þú sleppir keðjunni.
Do you think I'm stupid?	Heldurðu að ég sé heimskur?
I don't think you're stupid, Jack.	Ég held það ekki, Jack.
I think you're stubborn.	En þú ert þrjóskur.
Hey!	Heyrðu!
Where are my clothes?	Hvar eru fötin mín?
Come on, Kate.	KLÆDDU ÞlG Í ÞETTA Komdu, Kate.
He's waiting.	Hann bíður eftir þér.
Sorry.	Fyrirgefðu.
I'm going to have to ask you to put those on, Kate.	En ég verð að biðja þig að setja þessi á þig, Kate.
And if I don't?	Og ef ég neita?
Then you don't get any coffee.	Þá færðu ekkert kaffi.
A little tighter.	Aðeins þéttar.
Please?	Viltu gjöra svo vel?
What did you do with Sawyer and Jack?	Hvað gerðuð þið við Sawyer og Jack?
Now, why Sawyer?	Af hverju Sawyer?
Why Sawyer what?	Af hverju Sawyer hvað?
He's the first one you asked about."	Þú spurðir um hann fyrst."
What did you do with Sawyer and Jack "?	Hvað gerðuð þið við Sawyer og Jack "?
You don't know me.	Þú þekkir mig ekkert.
Of course I don't.	Auðvitað geri ég það ekki.
I want my clothes back. We burned them.	Ég vil fá fötin mín. Við brenndum þau.
Why did you bring me here?	Af hverju komstu með mig hingað?
Why did you make me put on this dress?	Af hverju klæðist ég þessum kjól?
Why are you feeding me breakfast?	Af hverju gefurðu mér morgunmat?
I brought you here so you 'd look out at the water and feel comforted, comforted that your friends were looking out at the same ocean.	Ég kom með þig hingað svo þú gætir horft á hafflötinn og huggað þig við að vinir þínir horfa á sama hafflöt.
I gave you the dress so you 'd feel like a lady.	Ég lét þig fá kjólinn svo þér liði eins og dömu.
And I wanted you to eat your food with a real live fork and feel civilised.	Og ég vildi leyfa þér að borða matinn með alvöru gaffli svo þér fyndist þú vera siðmenntuð.
I did all those things so that you 'd have something nice to hold onto.	Ég gerði allt þetta svo þú hefðir um eitthvað fallegt að hugsa.
Because, Kate, the next two weeks are going to be very unpleasant.	Vegna þess, Kate, að næstu tvær vikur verða mjög óþægilegar.
Yeah, hi.	Já, halló.
I met a woman on the train, Sarah, and she dropped her cell phone and I don't even know her last name, but your number was in her phone, so I was just wondering...	Ég hitti þessa konu í lestinni, hún heitir Sarah, hún missti farsímann sinn og ég veit ekki eftirnafnið hennar, en nafnið þitt var í símanum hennar, þannig að ég var að hugsa...
I'm sorry.	Fyrirgefðu.
I'm sorry.	Gleymdu því.
Hey.	Hæ.
Just give me a minute, Dad.	Bíddu augnablik, pabbi.
I asked you to give me a minute here.	Ég bað þig að bíða.
What's this?	Hvað er þetta?
Why are you dialling all the numbers on Sarah's cell phone?	Af hverju hringirðu í öll númerin í símanum hennar Söruh?
Because one of them is him.	Því eitt þeirra er hans.
You gotta stop this, Jack.	Hættu þessu, Jack.
It's over.	Þetta er búið.
Not until I know his name, where he works, where he lives, when they first kissed.	Ekki fyrr en ég veit hvað hann heitir, hvar hann vinnur, hvar hann býr, hvar þau kysstust fyrst.
I wanna know what it is about him.	Ég vil vita hvað dregur hana að honum.
Why is Sarah calling you, Dad?	Af hverju hringir Sarah í þig, pabbi?
I think it's time that you let this go.	Það er tímabært að þú hættir þessu.
Why is she calling you?	Af hverju hringir hún í þig?
Because she was afraid for you.	Af því hún óttast um þig.
I wanna know exactly why the hell she was calling.	Ég vil vita fjandans ástæðuna fyrir því að hún hringdi.
You were slipping, losing your grip.	Þú varst að missa tökin á öllu.
My grip is not the problem here.	Það er ekki til umræðu þér.
Which is exactly what's happening.	Sem er einmitt ástæðan.
I think I know something about being obsessive.	Ég tel mig vita sitthvað um þráhyggju.
No. Being a drunk is not obsessive.	Þráhyggja er ekki sama og fyllirí.
Let it go, Jack.	Slepptu takinu, Jack.
What?	Hvað?
If you're trying to talk to me, I can't hear you.	Ef þú ert að reyna að tala við mig, þá heyri ég ekki í þér.
I know you're hungry.	Ég veit að þú ert svangur.
I brought this for you.	Ég kom með þetta fyrir þig.
This is how it will work.	Svona gengur þetta fyrir sig.
You sit there, across from the door, back against the wall.	Þú situr þarna, á móti hurðinni, bakið upp við vegginn.
I open the door and leave the tray.	Ég opna hurðina og skil bakkann eftir.
Can I trust you to do that, Jack?	Get ég treyst þér, Jack?
I don't want your food.	Ég vil ekki matinn frá ykkur.
It's a delicious sandwich.	Þetta er girnileg samloka.
Tell the guy who's trying to talk to me through that intercom he can give it up!	Segðu náunganum sem reyndi að tala við mig í kallkerfinu að hætta því!
Maybe you're hungrier than you think.	Þú ert svengri en þú heldur.
That intercom hasn't worked in years.	Kallkerfið hefur ekki virkað í mörg ár.
What's that for?	Til hvers er þessi?
The button, what's it for?	Til hvers er hnappurinn þarna?
It's for emergencies.	Fyrir neyðartilvik.
Who's watching me?	Hver fylgist með mér?
Are you going to sit against the wall so I can open the door?	Ætlarðu að sitja upp við vegginn svo ég geti opnað dyrnar?
It's just off the frying pan.	Hún er nýkomin af grillinu.
You can have it.	Þú getur étið hana sjálf.
What do you do, Jack?	Hvað gerirðu, Jack?
I'm a people person, so I really love it.	Ég er félagslyndur og elska starfið.
Are you married?	Ertu kvæntur?
No.	Nei.
I never saw the point.	Ég sá ekki tilganginn með því.
What about you?	Hvað með þig?
What's your job, besides making sandwiches?	Hvað gerir þú, annað en að útbúa samlokur?
I didn't make it.	Ég gerði hana ekki.
I just put the toothpicks in.	Ég setti bara tannstönglana í.
When your plane crashed, where were you flying from?	Þegar flugvélin ykkar hrapaði, hvaðan voruð þið að fljúga?
Sydney.	Sydney.
What were you doing there?	Hvað varstu að gera þar?
I was bringing my father home.	Ég var að sækja föður minn.
Why go all the way to Australia to...	Af hverju fórstu til Ástralíu til...
Because he was dead.	Vegna þess að hann dó.
I'm sorry.	Mér þykir það leitt.
Yeah, I'm sure you are.	Já, ég er viss um það.
Thanks.	Þakka þér fyrir.
You can trust me, Jack.	Þú getur treyst mér, Jack.
I'm not gonna hurt you.	Ég vil þér ekkert illt.
What the hell is going on here?	Hvað í fjáranum gengur á hérna?
Hey, how long would it take to get to your camp?	Hvað er langt að fara í búðirnar ykkar?
What, you're talking to me now, Chachi?	Ertu farinn að tala, Chachi?
From where they got you, how long a walk was it?	Þaðan sem þau náðu ykkur, hvað voruð þið lengi hingað?
Day?	Einn dag?
Two days?	Tvo daga?
Hey, what are the people like, from your plane?	Hvernig er fólkið, úr flugvélinni?
They're just awesome.	Þau eru hreint mögnuð.
Last one of you boys came for a visit got tortured by our Iraqi.	Sá síðasti ykkar sem kom í heimsókn var píndur af Írakanum okkar.
He tortured me, too.	Hann píndi mig líka.
But, hell, you don't know any better.	En, fjandinn, þú veist ekki betur.
You run that way. Hey.	Hlauptu þangað.
Say it.	Heyrðu.
Say it, Karl.	Segðu það, Karl.
I'm... sorry sorry I involved you in my breakout attempt.	Mér... þykir leitt að hafa flækt þig í flóttatilraunina mína.
The drugs we gave you when we brought you here have a fairly serious side effect: Dehydration.	Lyfin sem við gáfum þér þegar við komum með þig hingað hafa alvarlega aukaverkun: vökvatap.
Your head is probably sore, your throat is raw, and if you don't eat or drink something soon, you're going to start hallucinating.	Þú finnur fyrir hausverk og eymslum í hálsi og ef þú drekkur ekki eða borðar neitt í bráð þá ferðu að sjá ofsjónir.
So you're a doctor, huh?	Þú ert þá læknir?
I'm a repo woman.	Ég vinn við innheimtu.
No strings attached.	Þessu fylgja engir skilmálar.
You don't have to answer any questions.	Þú þarft ekki að svara neinum spurningum.
You don't have to do anything but sit with your back up against the far wall, let me open that door, put the plate down and leave.	Þú þarft ekki að gera neitt nema að sitja upp við vegginn þarna og hleypa mér inn svo ég geti skilið bakkann eftir.
I know it feels like you're giving up, like you're losing if you do anything that I ask you to, but you're not.	Ég veit að þér finnst það uppgjöf, að þetta sé eftirgjöf ef þú hlýðir mér, en þetta er ekki þannig.
You need to eat.	Þú þarft að borða.
What do you say?	Hvað segirðu?
Thank you, Jack.	Þakka þér fyrir, Jack.
Let's take out the epidural catheter and get him started on a PCA.	Fjarlægjum utanbastslegginn og undirbúðu sjúklingsstýrða verkjameðferð.
Excuse me for just a second.	Afsakaðu mig andartak.
You sure he's ready to self-administer his pain meds?	Er hann örugglega tilbúinn að skammta sjálfum sér verkjalyf?
Hello?	Halló?
Dr Shephard?	Dr. Shephard?
Yeah.	Já.
Bye.	Bless.
Give me your cell phone. What?	Láttu mig fá símann þinn.
What?	Hvað?
I wanna see it.	Ég vil fá hann.
Now.	Núna.
Look where you are, Jack.	Athugaðu hvar þú ert, Jack.
Just look around you.	Gerðu það.
Please. OK?	Allt í lagi?
Give me the phone.	Láttu mig hafa símann.
This is not the place for this.	Þetta er ekki rétti staðurinn.
You must be Jack.	Þú hlýtur að vera Jack.
Why don't you grab a chair, join us?	Nældu þér í stól og slástu í hópinn.
You... you know me?	Þekkirðu mig?
Yes.	Já.
Your father's told us all about you.	Faðir þinn sagði okkur allt um þig.
What's he told you about me?	Hvað sagði hann?
What 'd you tell them about me, Dad?	Hvað sagðirðu þeim, pabbi?
That your son never really had it?	Að son þinn skorti hæfileika?
Not like the old man.	Annað en gamli maðurinn.
My marriage?	Í hjónabandinu?
What 'd you tell them about my marriage, Dad?	Hvað sagðirðu þeim um hjónabandið, pabbi?
You know how he manages his marriage?	Vitið þið hvernig gengur hjá honum?
A bottle of Scotch every night before dinner.	Viskíflaska á hverju kvöldi rétt fyrir kvöldmat.
Your father has been sober 50 days now.	Faðir þinn hefur ekki drukkið í 50 daga.
We're very proud of that.	Við erum afar stolt af honum.
Wow, Dad.	Vá, pabbi.
I wonder what helped you turn that corner?	Hvað ætli hafi orðið til þess?
Think maybe it was a new lady friend?	Er það kannski ný kærasta?
You think maybe that's what it was?	Heldurðu að það sé ástæðan?
I will not let you talk to me this...	Ég læt þig ekki tala svona við...
I will not let you sleep with my wife.	Þú sefur ekki hjá konunni minni.
Oh, Jack.	Jack, ég er faðir þinn.
Jack, I'm your father.	Jack, gerðu það, hættu þessu.
Which way out?	Hvar fer ég út?
Don't do this, Jack.	Ekki gera þetta, Jack.
No!	Nei!
Open the door.	Opnaðu dyrnar.
I can't.	Ég get það ekki.
You're lying to me.	Við deyjum þá.
Open the door!	Þú lýgur.
I can't.	Nei, ég lýg ekki.
I swear I can't.	Ég sver það.
She's telling the truth, Jack.	Hún segir satt, Jack.
I swear to God, I will kill her.	Ég sver það, ég mun drepa hana.
OK.	Allt í lagi.
Have her open the door and she dies anyway.	Ef hún opnar dyrnar þá deyr hún hvort eð er.
We all do.	Við öllsömul.
No!	Nei!
Jack!	Jack!
Come here.	Komdu hingað.
Gotcha, Doc Brown!	Ég vann, doksi Brown!
Reward.	Verðlaun.
How 'd you do that?	Hvernig fórstu að því?
I figured out your complicated gizmos, that's how.	Ég fattaði þennan flókna búnað ykkar.
Only took the bears two hours.	Það tók birnina aðeins tvo tíma.
I requested that cage, but whatever.	Ég vildi fá búrið þitt, en fékk ekki.
Nice dress.	Flottur kjóll.
They made me wear it.	Þau létu mig klæðast honum.
You hungry?	Ertu svöng?
It's an aquarium.	Þetta er sædýrasafn.
Excuse me?	Fyrirgefðu?
This thing's for what, - sharks?	Eru þessi búr fyrir hákarla?
Dolphins, too.	Og líka höfrunga.
We're underwater, aren't we?	Við erum neðansjávar, ekki satt?
Yes.	Jú.
Is this one of their stations, the Dharma Initiative?	Tilheyrir þessi stöð Dharma verkefninu?
They called it the Hydra.	Þau kölluðu hana Hydra.
So you people are just whatever's left over of them?	Þið fólkið eruð þá það sem er eftir?
Well, that was a long time ago.	Það er langt síðan.
It doesn't matter who we were.	Það skiptir ekki máli hver við vorum.
It only matters who we are.	Heldur það sem við erum.
We know exactly who you are, Jack Shephard.	Við vitum nákvæmlega hver þú ert, Jack Shephard.
You don't know anything about me.	Þið vitið ekki neitt um mig.
I know that you're a spinal surgeon based out of St. Sebastian's Hospital in Los Angeles.	Ég veit að þú ert skurðlæknir á St. Sebastians sjúkrahúsinu í Los Angeles.
I know you went to Columbia and you graduated med school a year faster than anyone else.	Þú sóttir skóla í Columbia og útskrifaðist úr læknanámi ári á undan öllum öðrum.
I know that you were married only once and that you contested the divorce.	Ég veit þú kvæntist aðeins einu sinni og þú barðist gegn skilnaðinum.
