We both know it.	Við vitum það bæði.
Really, how?	Hvernig?
Die!	Deyðu!
Yeah, fuck him up, Debi!	Já, farðu illa með hann, Debi.
The host of evil must die!	Hýsill illskunnar verður að deyja.
Come on, Debi.	Komdu, Debi.
Give him what for.	Láttu hann hafa það.
Wait, wait!	Bíðið!
I'm not a host.	Ég er enginn hýsill.
Okay, look.	Sjáið til.
The evil was in my hand, all right?	Illskan var í hendi minni.
I cut it off. Okay?	Ég skar hana burt.
Oh, shit!	Fjárinn.
You let it loose?	Slepptirðu henni lausri?
That was probably a mistake.	Það voru líklega mistök.
No kidding.	Alveg satt.
And now it's after my girlfriend.	Og nú eltist hún við kærustuna mína.
You got a girlfriend?	Áttu kærustu?
I gotta stop it.	Ég verð að stöðva hana.
It's out for blood.	Hún krefst blóðs.
That ain't all it's out for.	Það er ekki það eina.
If your girl's the one it's after, then at midnight it's taking her to hell.	Ef hún eltist við stúlkuna þína fer hún með hana til helvítis á miðnætti.
Hell?	Helvítis?
It's not even 9: 00 yet.	Klukkan er ekki orðin níu.
We got some time.	Við höfum nokkurn tíma.
It's actually six minutes till midnight, druid time.	Það eru reyndar sex mínútur til miðnættis að tíma drúída.
Druid time.	Drúída.
Oh, God!	Ó, guð.
That's disgusting.	Þetta er ógeðslegt.
You know, think about it.	Hugsaðu um þetta.
It's illegal.	Það er ólöglegt.
Move!	Áfram!
Look out!	Varið ykkur!
Everybody, go home!	Farið öll heim!
There's a psycho killer here!	Hér er geðveikur morðingi!
I cut off my hand, and it'll kill you all.	Ég skar höndina af mér og hún drepur ykkur öll.
Get off the stage!	Farðu af sviðinu!
It's true.	Þetta er sannleikur.
His hand killed us yesterday.	Höndin drap okkur í gær.
Yeah, it sliced me up real good.	Já, hún skar mig í strimla.
Molly, you out there?	Molly, ertu hérna?
Get out of here, kid!	Farðu burt, strákur!
You had your fun!	Þ ú ert búinn að skemmta þér.
Now it's time...	Það er kominn tími...
Shit! God!	Fjárinn.
Did you see that thing?	Sáuð þið þetta?
I have to get Anton!	Ég verð að sækja Anton.
No, screw him!	Fjandinn hirði hann.
I mean, he'll be fine!	Hann bjargar sér, meina ég.
In there?	Þangað inn?
You want to stay out here and get killed as you're trampled?	Viltu vera hér úti og vera troðin til bana?
I was going to get some.	Ég hefði fengið það.
I really doubt it.	Ég efa það mjög.
Pnub's a lot more creative than I thought.	Pnub hefur meiri sköpunargáfu en ég hélt.
I mean, he's actually kind of cool.	Hann er reyndar bara góður.
He had that costume...	Hann var með búning...
Maybe we should go faster.	Eigum við að fara hraðar.
I don't know if he did it or...	Ég veit ekki hvort það var hann eða...
Wait, wait!	Bíddu, bíddu!
What, what...?	Hvað?
Go!	Farðu!
We're trapped in here!	Við erum fastar hér.
It's going to get me!	Nú nær hún mér.
It's not going to get you!	Hún nær þér ekki!
It's not going to get you!	Hún nær þér ekki!
We can't go through the blade! We'll be pulverized!	Við förum ekki þarna í gegn, Þá verðum við að engu!
Give me your shoe!	Réttu mér skóinn þinn.
What are you going to do?	Hvað ætlarðu að gera?
Oh, God, it's too far!	Guð, það er of langt!
I can't drop that far!	Ég get ekki fallið svona langt.
We'll die in this vent!	Við deyjum í þessum stokki.
We won't die.	Við deyjum ekki.
We'll die here.	Við deyjum hér.
The rats are gonna eat us, and nobody's gonna find us.	Rotturnar éta okkur. Við finnumst aldrei.
Okay, we're good.	Jæja, staðan er góð.
Be careful.	Farðu varlega.
All right, let's go!	Leggjum af stað.
This would be more comfortable if your ass wasn't so wide.	Það væri þægilegra ef rassinn á þér væri ekki svo breiður.
This is dumb.	Þetta er heimskulegt.
Anton needs our help.	Anton þarf hjálp okkar.
The best thing about being dead is zero responsibility.	Aðalkosturinn við að vera dauður er að því fylgir engin ábyrgð.
That's Tanya.	Þarna er Tanya.
Let's save her.	Björgum henni.
Come on! Hurry up.	Fljótur.
She needs me. She needs you like a fish needs...	Hún þarfnast mín. Já, líkt og fiskur þarfnast...
Okay, this sucks.	Þetta er ömurlegt.
Grab the cord and come down!	Haltu í bandið og komdu niður.
I can't. I can't.	Ég get það ekki.
I'm scared!	Ég þori ekki!
Do it, Tanya!	Svona, komdu, Tanya!
Come on! I can't.	Ég get það ekki.
It's in here. I know it.	Ég veit að hún er hér inni.
Why 'd you pull the rope up?	Af hverju dróstu kaðalinn upp?
I didn't pull the rope up.	Ég dró hann ekki upp.
Tanya, where are you?	Tanya, hvar ertu?
I can't see you!	Ég sé þig hvergi!
Tanya, talk to me, please!	Tanya, viltu tala við mig?
Just jump!	Stökktu bara.
Just jump!	Stökktu!
Tanya, grab the rope!	Tanya, gríptu í kaðalinn.
Get it off!	Burt með hann.
I'm not going through all this Tanya.	Ég geri ekki allt þetta, Tanya.
Go back that way.	Farðu þessa leið.
Now you really won't get any.	Nú færðu ekkert.
It's unfair.	Það er óréttlátt.
You can go back if you want to get a piece.	Þ ú getur farið til baka ef þú vilt eitthvað.
Fucking hand, I got you now!	Handarskratti, Þar náði ég þér.
Who's your daddy now, bitch?	Hver er pabbi þinn núna, tíkin þín?
Who's your fucking...	Hver er versti...?
We're here for you.	Við erum hér þín vegna.
Don't worry.	Ég bjó til þennan öskubakka.
I made that ashtray!	Er það satt?
You let it go again!	Þ ú slepptir henni aftur.
Fuck you, then.	Fjandinn hirði þig þá.
Fine, then!	Allt í lagi.
You aren't crashing at my house. Did you guys hear that?	Þ ú skalt ekki koma óboðinn heim til mín. Heyrðuð þið þetta?
Help!	Hjálp!
Help me!	Hjálpið mér!
Bet she wins Best Costume.	Hún hlýtur að fá verðlaun fyrir besta búninginn.
The hand's raising the car!	Höndin lyftir bílnum.
Help me!	Hjálp!
Don't worry. We got it under control!	Vertu óhrædd, við höfum fulla stjórn á þessu.
The fucker's got a grip.	Skrattinn er hún sterk.
Hurry, please!	Flýtið ykkur!
Those auto-shop boys are true artistes.	Piltarnir í bílaviðgerðunum eru sannir listamenn.
It's Mighty Joe Bong!	Þetta er Joe sterki Bong!
I needs me spinach.	Ég verð að fá spínatið mitt.
I made that.	Ég bjó þetta til.
The ashtray, I 'd almost believe. But this?	Ég trúi þessu næstum um öskubakkann en alls ekki um þetta.
No way. Molly's about to get squished, you bastards!	Molly fer að verða að klessu, skepnurnar ykkar.
You're getting stoned with your friends?	Ertu kominn í vímu með vinum þínum?
Unbelievable!	Ótrúlegt.
That's some one-hit shit there!	Þessi óþverri er máttlítill.
Don't worry.	Vertu óhrædd.
I'll get you down.	Ég næ þér niður.
That's it?	Er þetta allt?
That's it?	Ekki meira?
No explosions, no hellfire, no...?	Ekki sprengingar, vítislogar...?
I'm glad everyone's all right.	Ég er feginn því að allir eru heilir á húfi.
But that was weak.	En þetta var slæmt.
Well, my work here is done.	Verki mínu hér er lokið.
Time for the ritualistic sex.	Tími kominn til helgisiðakynlífs.
You coming?	Kemurðu?
You are a pistol.	Þ ú ert hörð.
Hello?	Halló?
I'm still up here.	Ég er enn uppi.
You're a bud.	Þ ú ert sannur vinur.
Come here.	Komdu hingað.
As usual marijuana saves an otherwise disastrous day.	Eins og venjulega bjargar maríjúana degi sem annars væri glataður.
I never got a hit.	Ég fékk ekkert.
Light me.	Gef mér eld.
Sweet Jesus!	Jesús góður.
That wasn't my fault!	Ég á ekki sök á þessu.
That thing should've come down a lot slower!	Þetta hefði átt að koma niður miklu hægar.
What the hell.	Fjandinn sjálfur.
Don't forget my bong.	Gleymið ekki hvellinum mínum.
Fuck you!	Fjandinn hirði þig.
You coming, Anton?	Kemurðu, Anton?
I can't even believe it.	Ég trúi þessu ekki.
Time for your meds.	Taktu lyfin þín.
Guys! You blew off heaven too?	Komuð þið líka úr himnaríki?
No, we're your guardian angels.	Nei, við erum verndarenglar þínir.
Poor thing has delirium.	Greyið er með tremma.
Visiting hours are over.	Heimsóknartíminn er búinn.
I'll see you tomorrow, okay?	Sé ég þig á morgun?
So the deal is, we're supposed to monitor you and make sure you don't revert to your evil ways.	Það var samið um að við fylgdumst með þér og tryggðum að þú tækir ekki aftur upp á fyrri fúlmennsku.
But you seem fine now.	En þú virðist í góðu lagi.
Let's hit the Snack Master in the hall.	Förum í snarlbúðina á anddyrinu.
You want anything?	Langar þig í eitthvað?
Pnub!	Pnub!
Come guardian me!	Komið og verndið mig!
You're right.	Þ ú segir satt.
Anton screams like a girl.	Anton æpir eins og stelpa.
Think we should tell him we painted that?	Ættum við að segja honum að við máluðum þetta?
Fuck it.	Fjandinn sjálfur.
Let's go walk through a nurse.	Förum í gegnum hjúkrunarfræðing.
Watch it!	Varlega.
Some of them are guys.	Sumir þeirra eru karlmenn.
Subtitles by GELULA CO., INC.	Íslenskur texti eftir: GELULA CO., INC.
1999 Comedy,Fantasy,Horror English USA 92 3 0 1037 6620 utf-8 30 0 2013-08-24 866 1/1 01:32:02,486 1.0 English	880 Icelandic 1.0 1/1 2016-08-19 01:32:02,635 USA 92 Comedy,Fantasy,Horror 1999 English 0 1041 0 5813 27 utf-8 0
You know what I like about Christmas?	Veistu hvað mér finnst best við jólin?
The surprises.	Þetta óvænta.
No doubt in your mind.	Enginn vafi á því.
But then you open it and it's different.	Svo er hann opnaður og það er allt annað.
You know.	Veistu.
Wow!	Vá!
Bang!	Bang!
Surprise!	Óvænt!
I mean, it's kind of like you and me here, you know?	Það er eins og hjá okkur tveimur.
I'm not saying it's anything it's not.	Ég segi ekki að það sé annað en það er.
Come on, this time yesterday, who would've thunk it?	Hverjum hefði dottið það í hug í gær?
Paper or plastic?	Pappír eða plast?
Paper or plastic?	Pappír eða plast?
Paper or plastic?	Pappír eða plast?
Both.	Hvort tveggja.
You didn't double my coupons?	Tvöfaldaðirðu ekki miðana mína?
They're at the bottom in red, where it says "double coupons."	Þeir eru neðst í rauðu þar sem stendur "tvöfaldir miðar."
You can't put bleach in the same bag as food.	Það má ekki hafa bleikiefni með matvöru.
It's poison.	Það er eitrað.
Don't think you're something you're not.	Þú ert annað en þú heldur.
I had your job.	Ég var í starfinu þínu.
Look how far it got you.	Og hve langt náðirðu?
Nothing brings back warm holiday memories like the songs you love.	Ekkert vekur jólaminningar eins vel og eftirlætislögin.
Don't.	Ekki.
Why not?	Af hverju ekki?
Because she's been on for 14 hours.	Hún hefur verið að í 14 stundir.
No.	Nei.
I didn't ask yet.	Ég hef ekki spurt enn.
The answer's no.	Svarið er nei.
Christmas is a time for giving.	Jólin eru tími gjafanna.
Mistletoe?	Mistilteinn?
Pardon me if I'm not in a holly-jolly mood right now.	Afsakaðu að ég skuli ekki vera í jólaskapi núna.
I'm getting evicted.	Það á að reka mig út.
Tomorrow.	Á morgun.
They wouldn't evict you at Christmas.	Þeir bera þig ekki út á jólunum.
You 'd be ho-ho-homeless.	Þá yrðirðu hei-heimilislaus.
How much you owe? $ 380.	Hvað skuldarðu mikið? 380 dali.
That's nothing.	Það er ekkert.
It's more than I got.	Meira en ég á.
Want my shift?	Viltu taka vaktina mína?
My best mates are going to Las Vegas this weekend.	Bestu vinir mínir fara til Las Vegas um helgina.
I've never been.	Ég hef aldrei komið þangað.
I'm told it's incredible.	Sagður ótrúlegur staður.
If you take my shift, I can go with them.	Ef þú tekur vaktina mína get ég farið með þeim.
Everybody wins.	Allir vinna.
Cash up front?	Peningar fyrirfram?
Deal.	Samþykkt.
I'll throw in an extra $ 20 for a blowjob.	20 dalir aukalega fyrir tott.
Any available cashier.	Er gjaldkeri á lausu?
I need a cashier up at the front.	Mig vantar gjaldkera strax.
Look, I went the last time.	Ég fór síðast.
Omar Sharif.	Omar Sharif.
Steve McQueen.	Steve McQueen.
Michael Landon.	Michael Landon.
Lee Marvin.	Lee Marvin.
Shit.	Fjárinn.
Malcolm X. You can't say Malcolm X. He's famous. He's dead.	Malcolm X. Þú getur ekki sagt Malcolm X. Hann er frægur og dáinn.
That's a rule. Nothing starts with an "X."	Reglan er sú að ekkert byrjar á "X."
That's not my problem.	Það er ekki mitt mál.
You can challenge.	Þú getur staðið á móti.
I challenge.	Ég stend á móti.
Bullshit!	Kjaftæði.
Give me one dead celebrity that begins with an "X."	Nefndu frægðarmenni með nafn sem byrjar á "X."
Fuck!	Fjandinn.
There is one.	Það er einn.
I know I thought of one before.	Mér datt annað í hug áður.
Break was over four minutes ago.	Hléinu er löngu lokið.
Who's up front?	Hver er frammi?
I am.	Ég.
X erxes.	X erxes.
Some dead pharaoh guy, and his name starts with an "X."	Einhver dauður faraó og nafn hans byrjar á "X."
That wasn't it.	Það er ekki rétt.
Never heard of fucking X erxes.	Ég hef aldrei heyrt neinn skaðræðis X erxes nefndan.
Pharaoh could've saved your ass.	Faraó hefði bjargað þér.
There's an opera about him.	Það var gerð ópera um hann.
I took Music Appreciation twice.	Ég fór tvisvar í tónlistarmat.
What do you mean, he's snowed in?	Kemst hann ekki vegna snjóa?
What's he doing in Chicago anyway?	Af hverju er hann í Chicago?
Look, just call me when you get to a landline.	Hringdu í mig þegar þú kemst í jarðsíma.
He can't get out of the airport.	Hann kemst ekki af flugvellinum.
We're fucked.	Við liggjum illa í því.
Is the British guy still here?	Er sá breski enn hérna?
He went to Vegas for the weekend.	Hann skrapp til Vegas um helgina.
Vegas.	Vegas.
Hi Ronna.	Halló.
Right?	Heitirðu ekki Ronna?
Where can I get something to go with this juice?	Hvar finn ég eitthvað gott með safanum?
Doughnuts, aisle four.	Kleinuhringir á fjórða gangi.
I was hoping for something more euphoric.	Ég vonaðist eftir einhverju betra.
The British guy hooks us up.	Sá breski tengir okkur.
How much?	Hve mikið?
Twenty at $ 20.	Tuttugu á 20 dali.
You're overpaying.	Þú borgar of mikið.
We're desperate.	Við erum frávita.
We're going to a party at a warehouse.	Við ætlum í veislu í vörugeymslu.
What is it?"	Hvað er þetta?"
Mary X-mas Superfest."	Mary jólastórhátíð."
You going?	Ferð þú?
We had a pre-party planned.	Við ætluðum í partí áður.
But it's all or nothing because there's 20 of us.	En það er allt eða ekkert því við erum tuttugu.
My friend's stuck in Chicago.	Vinur minn er tepptur í Chicago.
He was supposed to come through for us.	Hann átti að hjálpa okkur.
We're dead.	Við erum dauð.
If you could do anything to help us out...	Ef þú getur gert eitthvað til að hjálpa okkur...
Please.	Gerðu það.
I'll see.	Ég sé til.
Give me your number.	Láttu mig fá númerið þitt.
Kick ass!	Fjandinn sjálfur.
Thank you.	Þakka þér fyrir.
So you wanna buy all this OJ?	Trúirðu þessari lygi?
Absolutely.	Vissulega.
You know Simon's in Vegas?	Veistu að Simon er í Vegas?
I don't need Simon.	Ég þarf ekki Simon.
I'm going to Todd.	Ég fer til Todds.
Todd Gaines?	Todds Gaines?
Who's Todd Gaines?	Hver er Todd Gaines?
That's Simon's dealer.	Sá sem selur Simon.
You can't go around Simon like that.	Þú getur ekki gert þetta án þess að tala við Simon.
Listen, if Simon were here, which he's not, he 'd charge $ 15 when he gets it for $ 10.	Ef Simon væri hér, en svo er ekki, tæki hann 15 dali þegar hann fær það á 10.
