Publication detail	Nánar um útgáfu
If they are sufficiently itemized, receipts from stores can be used instead of noting each item in the booklet.	Nota má kassakvittanir verslana ef þær eru nægilega sundurliðaðar í stað þess að skrá hverja vörutegund í búreikningsheftin.
After finishing the two weeks' diary keeping households in the capital area, Akureyri, Reykjanesbær and their surroundings are visited by interviewers while other households are sent a questionnaire.	Að loknu búreikningshaldi eru heimili á höfuðborgarsvæðinu, í Reykjanesbæ og á Akureyri heimsótt en heimili utan þessara svæða fá spurningalista senda í pósti.
In these interviews / questionnaires participants are asked on, among other things, rare and/or more substantial expenses over a three month period, such as housing expenses, car related expenses, expenses due to travel abroad and purchasing of furniture and electrical goods.	Í þeim viðtölum/spurningalistum er m.a. spurt um sjaldgjæf og/eða veigameiri útgjöld yfir þriggja mánaða tímabil, svo sem húsnæðiskostnað, rekstur á bíl, kostnað vegna utanlandsferða og kaup á húsgögnum og heimilistækjum.
Questions are also asked on the size and type of house, as well as on household durable and home electronic good ownership and repayments of loans.	Einnig er spurt um stærð og gerð húsnæðis, ásamt heimilis- og raftækjaeign og afborganir af lánum.
In addition information from the National Register of Persons, tax records and the Land Registry is used.	Til viðbótar eru notaðar upplýsingar úr þjóðskrá, skattskrá og fasteignaskrá.
The sample is drawn on a random basis from the National Registry of Persons.	Rannsóknareiningin er heimili og úrtak er tekið tilviljanakennt úr Þjóðskrá.
Family identity number of people aged 18-74 are chosen irrespective of residence or marital status.	Valið er úr fjölskyldunúmerum fólks á aldrinum 18-74 ára, án tillits til búsetu eða hjúskaparstöðu.
Participants are all those living in the household selected.	Þátttakendur verða allir sem búa á heimili þess sem dreginn er út.
Consumption: Households' purchasing of good or service	Neysla: Kaup heimila á vöru og þjónustu.
Households: All individuals living under the same roof and running a common household while the survey was being carried out.	Beinir skattar og lífeyrissjóðsiðgjöld, vextir og afborganir, sektir, félagsgjöld og styrkir teljast ekki til neyslu.
Equivalent scale: Differences in household size can make it difficult to interpret the results of expenditure surveys.	Heimili: Allir einstaklingar sem bjuggu undir sama þaki og höfðu sameiginlegt heimilishald meðan á útgjaldarannsókn stóð.
Data is collected continuously and results are based on data collected three years in a row.	Gögnum er safnað óslitið og eru niðurstöður byggðar á uppsöfnuðum gögnum fyrir þrjú ár í senn.
The sample, which consists of 1200 households per year, is too small to allow sufficiently reliable and extensive results to be reached every year.	Úrtakið, sem er 1200 heimili á ári, er of lítið til þess að unnt sé að útbúa nógu traustar og ítarlegar niðurstöður á hverju ári.
Therefore results are based on three years' worth of data at the price levels of the last year.	Því eru gefnar út niðurstöður byggðar á gögnum þriggja ára, á verðlagi síðasta ársins.
The first ones are based on data for the years 2000, 2001 and 2002 after which a three year moving average is used.	Þær fyrstu byggðust á gögnum fyrir árin 2000, 2001 og 2002 og síðan hefur verið stuðst við þriggja ára hlaupandi meðaltal.
The intention is to publish every three years results in December the year after the periods end.	Unnið er að styttingu vinnslutíma og er áformað að niðurstöður þriggja síðustu ára verði birtar fyrir lok þess næsta.
Results from sample surveys are always subject to some uncertainty, due to only part of the population being surveyed.	Niðurstöður úr úrtakskönnunum eru alltaf háðar einhverri óvissu, vegna þess að einungis hluti af þýðinu er skoðaður.
The greater the level of itemization used, the greater the sample required to make the results reliable.	Því meiri sundurliðunar sem krafist er, þeim mun stærra úrtak þarf til að niðurstöðurnar verði marktækar.
Results on expenses also vary in reliability according to the type of good or service.	Niðurstöður um útgjöld eru einnig misjafnlega áreiðanlegar eftir því um hvaða tegund vöru og þjónustu er að ræða.
It can be assumed that information on frequent expenses is more reliable than information on rare ones.	Gera má ráð fyrir að upplýsingar um útgjöld sem eru tíð séu áreiðanlegri en um útgjöld sem eru sjaldgæf.
In many expense categories most households have no expenses, while a few have significant expenses.	Í allmörgum útgjaldaflokkum eru flest heimili með engin útgjöld, en fáein heimili með mikil útgjöld.
Examples of this are car purchase and purchase of furniture and household goods.	Þetta á t.d. við um bílakaup og kaup á húsgögnum og heimilistækjum.
Errors in data can occur in a number of ways, for example:	Skekkjuvaldar í gögnum geta verið af ýmsum toga, nefna má:
Sampling errors (coverage errors, non-response errors).	Úrtaksskekkjur (þekjuskekkju, brottfallsskekkju).
Measurement errors (due to interviewers, inaccurate forms, inaccurate answers or differing methods in data collection)	Mæliskekkjur (vegna spyrla, ónákvæmra eyðublaða, ónákvæmra svara, eða mismunandi aðferða við gagnaöflun).
Processing errors (errors when entering data, errors in the classification of data, etc.)	Úrvinnsluskekkjur (skráningarskekkjur, skekkjur við flokkun útgjalda, og fl.).
Errors in data or missing information so values must be estimated.	Villur í gögnum eða upplýsingar vantar og þarf þá að áætla gildi.
Errors in official registers.	Skekkjur í opinberum skrám.
Coverage.	Þekja.
The population of the expenditure survey is private households in Iceland where someone in the household is younger than 75 years.	Þýði neyslurannsóknar eru einkaheimili á Íslandi þar sem einhver á heimilinu er yngri en 75 ára.
The sample frame of the survey is family numbers of individuals in the National Register of Persons aged 18-74.	Úrtökurammi rannsóknarinnar eru fjölskyldunúmer einstaklinga í þjóðskrá 18-74 ára.
The sampling probability is not the same for all households.	Úrtakslíkur eru ekki þær sömu fyrir öll heimili.
Households with a number of individuals aged 18-74 have a greater probability of being sampled.	Heimili með marga einstaklinga 18-74 ára hafa meiri líkur á að lenda í úrtakinu.
In the processing of data this is taken into account.	Við úrvinnslu gagna er tekið tillit til þessa.
Non-response.	Brottfall.
A high level of non-response can cause errors in the results of the survey if the non-response group deviates from those who participate in the survey.	Mikið brottfall getur skekkt niðurstöður rannsóknarinnar ef brottfallshópurinn er frábrugðinn þeim sem tekur þátt í könnuninni.
Experience from previous surveys has shown that there is large difference in response according to the type of household in question.	Reynsla af fyrri könnunum hefur leitt í ljós að mikill munur er á svörun eftir því um hvers konar heimili er að ræða.
Those who are least likely to participate are singles, while it has been easiest to get couples with children to participate.	Þeir sem síst vilja taka þátt í rannsókninni eru einhleypir en best hefur gengið að fá hjón/sambýlisfólk með börn til þátttöku.
In the processing of the survey results are adjusted according to non-response.	Við úrvinnslu könnunarinnar eru niðurstöður leiðréttar með tilliti til brottfalls.
Processing.	Úrvinnsla.
The main problems with processing are that results must be corrected for different sampling probabilities as well as non-response.	Helstu vandamál við úrvinnslu eru að leiðrétta þarf niðurstöður fyrir mismunandi úrtakslíkum og brottfalli.
Median values of the expense categories of those who do respond are usually used.	Miðgildi útgjaldaflokka þeirra sem svara eru oftast notuð.
Expenses are also estimated with regard to the household's other answers if possible.	Útgjöld eru líka áætluð út frá öðrum svörum heimilisins ef það er hægt.
The higher the level of itemization in the response, e.g. according to residence, type of household, etc., the larger the sample needed to make conclusions reliable.	Því meira sem svör þátttakenda eru sundurliðuð, t.d. eftir búsetu, heimilisgerð o.s.frv. því stærra úrtak þarf til að niðurstöður geti talist marktækar.
In results from the expenditure survey sums and percentages are marked with an asterisk (*) if the relative standard error is greater than 20%.	Í niðurstöðum útgjaldarannsóknarinnar eru fjárhæðir og hlutföll merkt með stjörnu (*) ef hlutfall staðalskekkju af meðaltali er yfir 20%.
