No more murders!	Ekki fleiri morð!
You have to remember that everything we've done, it's been done for the first time.	Hafið í huga að allt sem við erum að gera er verið að gera í fyrsta sinn.
So any progress at all is a pioneering and new area.	Svo allar framfarir eru brautryðjendastarf og frumaðgerðir.
And there is still the worry that the ice pack could close in and that there would be no open water for the whales to swim to.	Svo eru alltaf áhyggjurnar um að ísinn loki holunni og að hvalirnir komist ekki upp á yfirborðið.
Don Oliver, NBC News, Point Barrow, Alaska.	Don Oliver, NBC News, Point Barrow, Alaska.
The only available icebreaker...	Eini fáanlegi ísbrjóturinn...
A man obviously passionate about his role in this stirring rescue.	Maður sem er greinilega ánægður með þátt sinn í þessari áhrifamiklu björgun.
In his voice, this reporter hears the unmistakable sounds of a 40-year cold war beginning to thaw.	Í rödd hans heyrir þessi fréttamaður án efa að 40 ára kalt stríð er byrjað að þiðna.
So, all this is rather interesting.	Þetta er frekar athyglisvert.
When you've seen these magnificent animals up close like I have, Larry, you come to know that indomitable American spirit that lives within them.	Þegar þú hefur séð þessi stórkostlegu dýr í návígi eins og ég, Larry, þá finnur maður þennan óbugandi ameríska anda sem býr innra með þeim.
Thanks very much for joining us tonight.	Takk fyrir að vera með okkur í kvöld.
We'll be back with Arsenio Hall.	Við komum aftur með Arsenio Hall.
Ice is freezing the Beaufort Sea more quickly than usual for this time of year.	Ísinn frystir Beaufort-haf hraðar en venjulega fyrir þennan árstíma.
And three gray whales, two adults and their baby, are now trapped in walls of ice, six inches thick.	Og þrír gráhvalir, tveir fullorðnir og kálfurinn þeirra, eru nú fastir undir fimmtán sentímetra þykkri ísbreiðu.
And I'll be back with an exclusive report.	Ég sný aftur með glænýjar fréttir.
Time is running out for the whales trapped in the ice in Alaska...	Tíminn er á þrotum fyrir hvalina sem eru fastir í ísnum í Alaska...
Biography,Drama,Romance 2012 107 English USA, UK 0 2 0 windows-1252 13542 66 1621 2012-06-01 1.0 01:37:05,437 1633 English 1/1	Rippað af........... Žice! 1566 Icelandic 1.0 1/1 2012-08-16 01:37:15,876 USA, UK 107 Biography,Drama,Romance 2012 English 0 1604 0 11580 36 iso-8859-4 0
Darkness.	Myrkur.
That's the first thing I remember.	Það er það fyrsta sem ég man.
It was dark, and it was cold.	Það var dimmt og kalt.
And I was scared.	Og ég var hræddur.
But then, then I saw the moon.	En þá... sá ég tunglið.
It was so big and it was so bright.	Það var svo stórt og það var svo bjart.
It seemed to chase the darkness away.	Það var eins og það ræki myrkrið á flótta.
And when it did, I wasn't scared anymore.	Og þegar það gerðist... hvarf mér allur ótti.
Why I was there and what I was meant to do, that I've never known. And a part of me wonders if I ever will.	Hvers vegna ég var þarna og til hvers var ætlast af mér hef ég aldrei vitað og ég velti fyrir mér hvort ég muni nokkurn tíma vita það.
Hello.	Halló.
Good evening, ma 'am.	Gott kvöld, frú.
Excuse me. Can you tell me where I am?	Afsakaðu, geturðu sagt mér hvar ég er?
Hello?	Halló?
My name is Jack Frost.	Ég heiti Jökull Frosti.
How do I know that?	Hvernig veit ég það?
The moon told me so.	Tunglið sagði mér það.
But that was all he ever told me.	En það var það eina sem það sagði mér.
And that was a long, long time ago.	Og það var fyrir mjög löngu.
Still waiting for cookies!	GOĐSAGNIRNAR FIMM NORĐUPÓLLINN 300 ÁRUM SÍĐAR ÓÞEKKUR Enn að bíða eftir kökum.
Yes! Finally!	ÞÆGUR Loksins.
How many times have I told you to knock?	Hversu oft hef ég sagt þér að banka?
What?	Hvað?
What is this?	Hvað er þetta?
Have you checked the axis?	Hafið þið athugað möndulinn?
Is rotation balanced?	Er snúningur í jafnvægi?
Can it be?	Getur það verið?
Dingle!	Dingill.
Make preparations.	Hefjið undirbúning.
We are going to have company.	Við eigum von á gestum.
Eighteen central incisors.	18 miðframtennur.
Moscow, sector 9.	Moskva, hverfi níu.
22 incisors, 18 premolars.	22 framtennur, 18 framjaxlar.
Heavy rain advisory.	Spáð mikilli rigningu.
Des Moines, we've got a cuspid at 23 Maple.	Des Moines. Jaxl, Hlynstræti 23.
Wait! It's her first tooth.	Fyrsta tönnin hennar.
To bring wonder, hope, and dreams.	Færa þeim undur, von og drauma.
And so I have called us all here for one reason, and one reason only.	Ég hef boðað ykkur hingað af einni ástæðu eingöngu.
The children are in danger.	Börnin eru í hættu.
An enemy we have kept at bay for centuries has finally decided to strike back.	Óvinur sem við höfum haldið í skefjum í aldaraðir hefur loksins ákveðið að gera árás.
We alone can stop him.	Aðeins við getum stöðvað hann.
It's freezing!	Það er ískalt.
I can't feel my feet!	Ég er dofinn í fótunum.
Cookies?	Kökur?
Eggnog?	Jólaöl?
Anyone?	Einhver?
This better be good, North.	Eins gott að þetta sé mikilvægt, Norðri.
Sandy, thank you for coming.	Sandi, takk fyrir að koma.
I know, I know.	Ég veit, ég veit.
But I obviously wouldn't have called you all here unless it was serious.	Ég hefði ekki boðað ykkar hingað nema það væri alvarlegt.
The Boogeyman was here!	Vondi karlinn var hérna.
At the Pole!	Á Pólnum.
Pitch?	Sorti?
Pitch Black?	Myrkur Sorti?
Here?	Hérna?
Yes.	Já.
There was black sand covering the Globe.	Svartur sandur umvafði Hnöttinn.
What do you mean, black sand?	Hvernig svartur sandur?
Can you believe this guy? Yeah.	Trúið þið þessum gaur?
Mate, if I did this to you three days before Christmas...	Ef ég gerði þér þetta þrem dögum fyrir jól...
Please, Bunny.	Hægan, Héri.
Easter is not Christmas.	Páskarnir eru ekki jólin.
Here we go.	Ég hef engan tíma.
I've still got two million eggs to finish up!	Ég þarf að klára tvær milljónir eggja.
No matter how much you paint, is still egg.	Sama hvað þú málar mikið eru þetta bara egg.
Look, mate, I'm dealing with perishables.	Þetta eru viðkvæmar vörur.
Right? You've got all year to prepare!	Þú hefur allt árið fyrir undirbúning.
Why are rabbits always so nervous?	Af hverju eru hérar alltaf svona stressaðir?
And why are you always such a blowhard?	Af hverju ert þú gortari?
Tooth! Can't you see we're trying to argue? Sorry.	Tanna, sérðu ekki að við erum að reyna að rífast?
Not all of us get to work one night a year.	Sum okkar vinna meira en eina nótt á ári.
Am I right, Sandy?	Ekki satt, Sandi?
San Diego, sector 2. Come on, mate.	San Diego, svæði tvö.
Pitch went out with the Dark Ages.	Sorti hvarf með myrkum miðöldum.
We made sure of it.	Við sáum til þess.
I know it was him.	Ég veit að það var hann.
We have serious situation.	Þetta er alvarlegt ástand.
Well, I've got a serious situation with some eggs.	Ég er með alvarlegt ástand í sambandi við eggin.
Man in Moon!	Karlinn í tunglinu.
Sandy, why didn't you say something?	Því sagðirðu ekkert, Sandi?
It's been a long time, old friend.	Langt síðan síðast, gamli vinur.
What is big news?	Hvað er títt?
It is Pitch.	Þetta er Sorti.
Manny, what must we do?	Kalli... hvað getum við gert?
Guys, you know what this means?	Vitið þið hvað þetta þýðir?
He's choosing a new Guardian.	Hann velur nýjan Verndara.
Why?	Af hverju?
Must be big deal.	Hlýtur að vera mikilvægt.
Manny thinks we need help.	Kalli telur okkur þurfa hjálp.
Since when do we need help?	Síðan hvenær þurfum við hjálp?
I wonder who it's gonna be!	Hver ætli það verði?
Maybe the Leprechaun?	Kannski Búálfurinn?
Please not the Groundhog, please not the Groundhog.	Gerðu það, ekki Múrmeldýrið.
Jack Frost.	Jökull Frosti.
I take it back.	Ég tek þetta aftur.
The Groundhog's fine.	Múrmeldýrið er fínt.
As long as he helps to protect the children. Right?	Svo fremi sem hann hjálpar að vernda börnin, ekki satt?
Jack Frost?	Jökull?
He doesn't care about children!	Honum er sama um börnin.
All right? All he does is freeze water pipes and mess with my egg hunts!	Hann frystir bara vatnsleiðslur og truflar eggjaleitina.
All right? He's an irresponsible, selfish...	Hann er ábyrgðarlaus og eigingjarn...
Guardian.	Verndari.
Jack Frost is many things, but he is not a Guardian.	Jökull Frosti er ýmislegt en hann er ekki Verndari.
Now that, that was fun.	Þetta var gaman.
Hey, wind!	Heyrðu, vindur.
Take me home.	Berðu mig heim.
Guys, wait up!	Bíðið.
Are you guys coming to the egg hunt Sunday?	Komið þið í eggjaleitina á sunnudaginn?
Yeah! Free candy.	Já, ókeypis nammi.
I hope we can find the eggs with all this snow!	Vonandi finnum við eggin í öllum þessum snjó.
It says here that they found Bigfoot hair samples and DNA in Michigan!	Þeir fundu hár og DNA af Stórfæti í Michigan.
That's like super-close!	Það er hérna rétt hjá.
Here we go again.	Byrjarðu aftur.
You saw the video too, Claude.	Þú sást myndbandið.
He's out there.	Hann er þarna.
That's what you said about aliens.	Þetta sagðirðu um geimverur.
And the Easter Bunny!	Og Páskahérann.
The Easter Bunny is real.	Páskahérinn er ekta.
He's real all right. Real annoying, real grumpy and really full of himself. Come on!	Hann er ekta leiðindanaggur, fýlupúki og merkikerti.
You guys will believe anything.	Þið trúið öllu.
Easter Bunny, hop, hop, hop!	Páskahéri, hopp, hopp.
Mom, Sophie fell again!	Mamma, Soffía datt aftur.
You okay, Soph?	Allt í lagi, Soffía?
Jamie, hat. We don't want Jack Frost nipping at your nose.	Farðu með húfu svo Jökull Frosti bíti þig ekki í nefið.
Who's Jack Frost?	Hver er Jökull Frosti?
No one, honey.	Enginn, væni.
It's just an expression.	Maður segir bara svona.
Hey! "Who's Jack Frost?"	Hver er Jökull Frosti?
Okay, who threw that?	Hver henti þessum?
Well, it wasn't Bigfoot, kiddo.	Það var ekki Stórfótur.
Jamie Bennett, no fair!	Jonni Birgis, ósanngjarnt.
You struck first!	Þú byrjaðir.
Free-for-all!	Allir á móti öllum.
All right, who needs ammo?	Hvern vantar skotfæri?
Look at that!	Sjáið þetta.
Crud!	Ég henti í Kökubollu.
I hit Cupcake! She hit Cupcake.	Hún henti í Kökubollu.
You hit Cupcake?	Hentirðu í Kökubollu?
Did you throw that?	Hentir þú þessum?
No.	Nei.
It wasn't me!	Ekki ég.
A little slippery!	Svolítið sleipt.
Jamie, watch out! That's the street! Stop!	Jonni, varaðu þig.
There's traffic!	Þetta er gatan. Það er umferð.
Don't worry, Jamie.	Engar áhyggjur.
Take a left!	Til vinstri.
Did you guys see that?	Sáuð þið þetta?
I did a jump and I slid under a...	Ég stökk og rann undir bílinn.
That wasn't the Tooth Fairy, that was me!	Það var ég, ekki Tannálfurinn.
My ears are freezing!	Eyrun á mér eru að frjósa.
What's a guy got to do to get a little attention around here?	Hvað þarf maður að gera til að fá athygli hérna?
There was a patch of ice.	Þetta var hörkusvell.
I don't understand how it got here.	Ég veit ekki hvernig það komst hingað.
I mean, Easter is around the corner!	Páskarnir eru handan við hornið.
It was awesome!	Þetta var frábært.
So then I was flying down this hill and it was like... through these cars and then the sled hit this thing and it was like way up in the air!	Ég fór niður brekkuna og á milli bílanna og upp í loft og svo skall sófinn á mér.
And then the sofa hit me... and see, my tooth came out! All right, you.	Sjáðu, ég missti tönnina.
Tooth under your pillow?	Tönn undir kodda?
Yeah, I'm ready.	Já, ég er tilbúinn.
Now don't stay up trying to see her, Jamie, or she won't come.	Ekki reyna að vaka eftir henni.
But I can do it this time!	Þá kemur hún ekki.
You want to help me, Soph?	Ég get þetta. Viltu hjálpa mér?
We can hide and see the Tooth Fairy!	Felum okkur til að sjá Tannálf.
Straight to bed now, mister.	Beint í rúmið, herra.
Mom. If there's something I'm doing wrong, can you just tell me what it is?	Ef ég geri eitthvað vitlaust, viltu segja mér hvað það er?
Because I've tried everything and no one ever sees me.	Ég hef reynt allt en enginn sér mig.
You put me here. The least you can do is tell me...	Þú settir mig hérna og getur í það minnsta sagt mér...
Tell me why.	Sagt mér hvers vegna.
Right on time, Sandman.	Á réttum tíma, Sandmann.
I thought I heard the clippity-clop of a unicorn.	Mér fannst ég heyra í einhyrningi.
What an adorable dream!	En yndislegur draumur.
And look at her.	Lítið á hana.
Precious child.	Saklausa barn.
So sweet. So full of hope and wonder.	Hún er svo sæt og full af von og undrum.
Why, there's only one thing missing.	Það vantar aðeins eitt.
A touch of fear.	Örlítinn ótta.
That never gets old.	Þetta þreytist aldrei.
Feel your fear.	Finndu óttann.
Come on.	Koma svo.
Come on, that's right.	Já, einmitt.
Yes, what a pretty little Nightmare!	En hugguleg lítil martröð.
Now, I want you to go tell the others the wait is over.	Núna... skaltu segja hinum að biðin sé á enda.
