Step aside.	Farið frá.
Good luck with your head.	Gangi þér vel með höfuðið.
Thanks.	Þakka þér fyrir.
Don't worry, Sam.	Engar áhyggjur, Sam.
We'll be with you next.	Þú ert næst.
Mr. Andrew Largeman?	Herra Andrew Largeman?
Yes, hi.	Já, komdu sæll.
There's nothing wrong with you.	Það er ekkert að þér.
What?	Hvað segirðu?
Just kidding.	Bara grín.
How would I know that? Uh...	Hvað ætti ég að vita um það?
I'm Dr. Cohen.	Ég er Cohen læknir.
What can we do for you today, Andrew?	Hvað get ég gert fyrir þig í dag?
I've been getting these really intense headaches.	Ég hef fengið mjög slæma höfuðverki.
Um, they last for, like, a split second.	Þeir vara aðeins í augnablik.
It's like a surge of electricity, and then it's gone.	Eins og þruma eða rafmagn og svo hverfur það.
Lithium?	Litíum?
How long have you been on the lithium?	Hversu lengi hefur þú tekið litíum?
Um, I've been on some form of it since I was ten or so.	Ég hef tekið slík lyf síðan ég var tíu ára.
And the Paxil, Zoloft, Celexa...	Og Paxil, Zoloft, Celexa og Depakote?
Depakote? Did they help you at all?	Hjálpaði þetta þér eitthvað?
No.	Nei.
I mean, I don't know.	Ég veit það ekki.
It's recently occurred to me I might not even have a problem.	Nú sé ég að kannski er ekkert að mér.
Only, I 'd never know it, because as far back as I can remember, I've been medicated.	En ég veit það ekki því síðan ég man eftir mér hef ég verið á lyfjum.
I left them in L.A., though.	En ég skildi þau eftir heima.
This is the first time I haven't had medicine in my body for a long time.	Þetta er fyrsta skipti í langan tíma sem líkaminn er lyfjalaus.
Well, that stuff will leave your body pretty fast.	Þetta fer hratt úr þér.
I could write you a prescription.	Á ég að skrifa lyfseðil?
Actually, I was thinking about taking a vacation.	Mér datt í hug að taka mér smá frí.
Have you discussed this with your psychiatrist?	Hefurðu rætt þetta við geðlækninn þinn?
Uh... well, my psychiatrist is my dad.	Geðlæknirinn minn er pabbi minn.
Yeah, so I think he 'd prefer me to stay on it.	Hann vill helst að ég hætti ekki.
He... likes to think it makes me happy.	Hann heldur að þetta veiti mér hamingju.
You know, our bodies are capable of doing some very funny things when they're consumed with stress and anxiety. Uh...	Líkaminn getur gert ótrúlegustu hluti þegar hann er þjáður af streitu og kvíða.
I found my ex-best friend's cufflinks in my wife's purse. Hmm.	Ég fann ermahnappa fyrrverandi vinar í veski eiginkonunnar.
I couldn't get an erection for year and a half... for example.	Ég fékk ekki stinningu í eitt og hálft ár.
And secondly... I'm in no position to comment on whether you should stay on the meds or not, 'cause I don't know your story.	Í öðru lagi get ég ekkert sagt um það hvort þú ættir að taka lyfin því ég þekki ekki sögu þína.
But my opinion, since you're paying for it, is that yeah, those drugs may help you as a means to an end.	En mitt mat, þar sem þú ert að borga fyrir það, er að lyfin gætu verið ágætis skyndilausn.
But sooner or later, if you're not in therapy, whatever's going on in your mind will find a way to peek its head out of the water.	En fyrr eða síðar, ef þú ferð ekki í meðferð, mun það sem er í höfðinu á þér finna leið upp á yfirborðið.
Are you all right?	Er allt í lagi?
Yeah, yeah.	Já.
Yeah, you're all right.	Auðvitað er allt í lagi.
You're alive.	Þú ert lifandi.
I'm a robot.	Ég er vélmenni.
Do you lie a lot?	Lýgur þú mikið?
What do you consider a lot?	Hvað er mikið?
Enough for people to call you a liar.	Nóg til að fólk kalli þig lygara?
People call me lots of things.	Fólk kallar mig ýmsum nöfnum.
Is one of them "liar"?	Er lygari eitt þeirra?
I could say no, but how would you know I'm not lying?	Ég gæti svarað neitandi en það gæti verið lygi.
I guess I could choose to trust you.	Þá verð ég líklega að treysta þér.
You can do that?	Geturðu það?
I can try.	Ég get reynt það.
Whose bike is that?	Hver á þetta hjól?
It was my grandfather's.	Afi minn átti það.
Would you like a ride home?	Viltu far heim?
My hair's blowin' in the wind.	Vindurinn næðir um hárið á mér.
What, are you, like, a hand glider?	Stundar þú svifdrekaflug?
My boyfriend was gonna pick me up, so I brought it, but then he couldn't.	Kærastinn ætlaði að sækja mig en hann komst ekki.
What does he have, one of those tandem things?	Á hann tvímennings - reiðhjól eða hvað?
Goes way faster than this guy.	Hann á Ninju sem fer miklu hraðar en þetta.
What kind of helmet is that?	Hvernig hjálm ertu með?
You can wear it on a bike.	Það má nota hann í þetta.
How's your head?	Hvernig er höfuðið?
I should live through the day.	Ég lifi daginn af.
Cool. Make a right here.	Farðu til hægri hér.
All right.	Allt í lagi.
Are you doing anything right now?	Þarftu að gera eitthvað?
Can you elaborate on "doing anything"?	Hvað áttu við?
It's just, I know this guy, Jesse. He bought this mansion right up here.	Ég þekki gaur, Jesse, sem á stórt setur hérna.
And he wants me to come visit him, but I don't want to stay very long.	Hann vill fá mig í heimsókn en ég vil ekki vera lengi.
So, I was thinking, like, if you came, too, I could just say I have to take you home when I'm ready to go.	Svo mér datt í hug að ef þú kemur líka gæti ég þurft að skutla þér heim þegar ég vil fara.
Wow.	Þú ert aldeilis hugaður, Andrew.
That's pretty damn random of you, Andrew. Well... "Nice to meet you.	Gaman að kynnast þér.
Can I use you?"	Mætti ég nota þig?
It's the Hollywood in you.	Ekta Hollywood hegðun.
No. Come on, it's not like that.	Það er ekki þannig.
It'll be fun, come on.	Þetta verður gaman.
We can have, like, a signal.	Við getum notað merki.
Like, when you pull on your ear, that's the code.	Þú gefur mér merki með því að toga í eyrað á þér.
And I'll be like, "Oh, I got to take her home."	Þá segist ég verða að skutla þér heim.
And then, then we'll go.	Þá förum við.
Can we have code names, too?	Gætum við líka notað dulnefni?
If you want.	Ef þú vilt.
OK... but don't try and, like, kidnap me or anything, 'cause my step uncle's a bounty hunter, and he could have you tracked and killed.	Allt í lagi, en ekki reyna að ræna mér. Frændi minn er mannaveiðari og hann drepur þig.
You're such a liar.	Þú ert lygamörður.
Whoo! OK, you ready?	Eruð þið tilbúin?
I'll be fine. Am I the first boy you've ever brought home?	Er ég fyrsti strákurinn sem þú býður heim?
So-So sometimes I lie.	Ég lýg stundum.
I mean, sometimes I hear myself say something, and then I think, "Wow, that wasn't even remotely true."	Stundum heyri ég mig segja eitthvað og hugsa svo: "Þetta var ekki nálægt sannleikanum ".
So, how do people know what's real?	Hvernig veit fólk hvað er satt?
Well, I always feel bad afterwards and admit them when they're lies.	Ég fæ alltaf samviskubit og játa að ég laug.
Can you trust that?	Geturðu treyst því?
Open the door.	Opnaðu dyrnar.
Kevin, down.	Niður, Kevin.
Mom!	Mamma.
Come on, kick'em in the balls.	Sparkaðu í punginn á þeim.
Come on.	Mamma.
Mom! Everybody down.	Niður með ykkur.
Who wants to eat?	Hver vill éta?
Do you want to eat?	Vilt þú éta?
Then get the fuck off him.	Þá skaltu láta hann í friði.
Go on, get out. I'm so sorry.	Svona, út með ykkur.
We just don't have the time to train them.	Fyrirgefðu, við höfum ekki tíma til að þjálfa þá.
Who's got the time to train them?	Hver hefur tíma til að þjálfa þá?
Mom.	Mamma.
This is Andrew.	Þetta er Andrew.
Welcome, welcome.	Velkominn.
There's a tin box on the kitchen counter.	Það er kassi á eldhúsborðinu.
You can do the honors.	Þú mátt sjá um þetta.
I have to get to work.	Ég verð að fara í vinnuna.
It's nice to meet you. Andrew, right? Yes.	Gaman að kynnast þér, Andrew?
Very nice to meet you.	Já, sömuleiðis.
Samantha, put the clothes in the dryer and bury Jelly.	Settu fötin í þurrkarann og jarðaðu Jelly.
So, this is it.	Þetta er fínt.
It's nice. No, it's not.	Það er ekki satt.
Don't say that 'cause you can't think of anything else. I'm not, I'm not. It's very cozy.	Þú segir það bara því þér dettur ekki annað í hug.
You guys are a little early on the tree, though.	Nei, þetta er notalegt en þið eruð of snemma með tréð.
Andrew, this is my brother, Titembay.	Þetta er Andrew og þetta er bróðir minn, Titembay.
Hi, it's very nice to meet you.	Gaman að kynnast þér.
Oh, it's nice to meet you.	Sömuleiðis.
I'm sorry about Jelly.	Það var leitt með Jelly.
Oh, that's OK.	Það er allt í lagi.
I saved some mac and cheese for you.	Ég geymdi makkarónur og ost handa þér.
It's in the fridge.	Þakka þér fyrir.
I'm late for class. It's nice meeting you.	Ég er orðinn of seinn í skólann.
Very nice to meet you.	Gaman að kynnast þér.
See you later.	Við sjáumst.
So, here we are.	Hér er það.
It's nothing fancy, but you know...	Ekkert fínt en samt...
What?	Hvað?
Uh, it's Titembay, right?	Er það Titembay?
You're running for the door.	Þetta er undarlegt.
It's OK. You can go.	Þú ert að fara yfir um.
Don't feel bad- - Stop doing that.	Þig langar að fara og það er allt í lagi.
What?	Hverju?
The thing you just did.	Þessu sem þú gerðir.
My mom adopted him from Sally Struthers years ago.	Mamma ættleiddi hann af Sally Struthers.
One of those "For the cost of a cup of coffee a day" things.	Það kostaði jafn mikið og kaffibolli á dag."
Where she's like, "How can you sit there and not help the children?"	Hvernig geturðu ekki hjálpað börnunum?"
And we just couldn't sit there and not help the children.	Við gátum ekki annað en að hjálpa börnunum.
So, we start sending him, like, pictures and letters and stuff for years, but then I got really into ice skating, so we sort of forgot about him.	Við sendum honum myndir og bréf í nokkur ár en gleymdum honum þegar ég fékk áhuga á skautum.
Then one day... we get this phone call, and it's Titembay.	Einn daginn hringdi síminn og þar var Titembay.
He's at the dry cleaners around the corner. And he's like, "I'm at Rutgers.	Hann var í fatahreinsuninni hinum megin við götuna.
I live in the dorms, but I'm used to living with my tribe, so I 'd rather live with a family."	Hann var í háskóla og hafði áður búið í ættbálki og vildi eiga fjölskyldu.
And he's been living with us ever since.	Hann hefur búið hérna síðan þá.
Wow.	Ja, hérna.
I know. He's the most amazing guy.	Ég veit, hann er ótrúlegur.
You ought to hear some of his stories.	Þú ættir að heyra sögurnar.
He struggled through so much because he wanted to learn.	Hann barðist svo mikið fyrir því að mennta sig.
When I think of what he's accomplished, I just, I just feel, like, lazy, you know?	Mér finnst ég vera löt ef ég hugsa um afrek hans.
He's studying criminal justice at Rutgers, and when he was a baby, he was one of those kids with the flies all over his face.	Hann er að læra afbrotafræði í Rutgers en var áður svona barn með flugur í andlitinu.
Wow. I mean, it's a crazy story.	Þetta er alveg ótrúleg saga.
Yeah, I know.	Ég veit það.
I mean, that's a true story. I am not that good.	En þetta er satt, ég gæti ekki logið þessu.
Ohh... this is Tickle.	Þetta er Kitla.
What is Tickle?	Hvað er Kitla?
Tickle's my favorite thing in the whole world.	Kitla er uppáhaldshluturinn minn í öllum heiminum.
It's all that's left of Nanny, my blanket.	Það eina sem er eftir af Fóstru, teppinu mínu.
Tickle's all that remains. Mm-hmm.	Kitla er það eina sem eftir er.
Was there, like, a hurricane?	Kom fellibylur?
Shut up!	Þegiðu.
No, I mean... I've had this since I was a baby.	Ég hef átt þetta síðan ég var ungabarn.
I'm not. I mean, I'm Jewish, but I'm not really Jewish.	Ég er gyðingur en ég er enginn ekta gyðingur.
I mean, I don't do anything Jewish.	Ég geri ekkert eins og gyðingur.
I don't go to temple or anything, but I don't know any Jews that go to temple.	Ég fer ekki í musteri og þekki enga gyðinga sem gera það.
The Jews I know, they go on one day. It's Yom Kippur, the Day of Repentance.	Gyðingar fara á einum degi, Yom Kippur, degi iðrunar.
OK.	Ég skil.
Did you know that most temples are built with moveable walls, so that on the one day of the year when everyone comes to repent, they can actually make the room big enough to hold everyone?	Flest musteri eru með færanlegum veggjum svo þennan eina dag þegar allir iðrast er nóg pláss fyrir allan mannfjöldann.
I don't really believe in God.	Ég trúi ekki á Guð.
Just Tickle.	Bara Kitlu?
Oh, I believe in Tickle.	Ég trúi á Kitlu.
We're not gonna make out or anything.	Við ætlum ekki að kela.
What?	Hvað segirðu?
I just totally ruined that moment, didn't I?	Eyðilagði ég ekki þetta augnablik?
It's just, we're not gonna make out, OK?	En við förum ekki að kela. Ég hafði það ekki í huga.
No, I hadn't planned on trying- Oh, I am so lame.	Ég er svo glötuð.
That was, like, really- I'm...	Þetta var alveg...
I'm sorry. Forget I just said that.	Gleymdu að ég sagði þetta.
I'm- That was dumb.	Það var kjánalegt.
You know what I do when I feel completely unoriginal?	Veistu hvað ég geri ef mér finnst ég vera ófrumleg?
I-I make a noise, or I do something that no one has ever done before, and then I can feel unique again, even if it's only for, like, a second.	Ég geri hljóð eða eitthvað sem enginn hefur gert áður og þá verð ég einstök aftur, þótt það sé bara í andartak.
So, no one's ever done that?	Hefur enginn gert þetta?
No. Not in this spot, no.	Nei, ekki á þessum stað.
You just witnessed a completely original moment in human history.	Þú sást algerlega frumlegt andartak í sögu mannsins.
It's refreshing. You should try it.	Þú ættir að prófa.
No, thanks.	Nei, takk.
Come on.	Gerðu það.
No, I think that was good enough - for the both of us. Come on!	Nei, þetta dugði okkur báðum.
What are you, shy?	Ertu feiminn?
This is your one opportunity to do something no one has ever done before, that no one will copy again throughout human existence.	Þú getur gert eitthvað sem enginn hefur gert áður og enginn getur endurtekið.
And if nothing else, you'll be remembered as the one guy who ever did this - this one thing.	Ef allt bregst verður þú samt alltaf gaurinn sem gerði þetta.
Uh... How was that?	Hvernig var þetta?
Oh, I've done that one before.	Ég hef gert þetta áður.
So, I got to go bury this hamster before the dogs eat him. Wanna help? Hmm?	Ég verð að grafa hamsturinn áður en hundarnir éta hann.
