No, a different one.	Ég á við aðra.
Like I said, the mother of all bubbles was the Cambrian Explosion.	Eins og ég sagði, móðir allra bóla var kambríusprengjan.
And it happened by chance over 500 million years ago.	Og hún gerðist fyrir tilviljun fyrir meira en 500 árum síðan.
Tell us about Louis Zabel.	Segðu okkur frá Louis Zabel.
Come on.	Svona nú.
Come on. No! Scientists will tell you it was unprecedented, it happened in a flash.	Vísindamenn munu segja þér að það hafi verið fordæmislaust, það gerðist leiftursnöggt.
And from it, suddenly the world had millions of new species.	Og upp frá því, urðu skyndilega til milljónir nýrra tegunda á jörðinni.
I 'd love a coffee.	Ég væri mikið til í kaffi.
So be in, like, 10.	Vertu komin eftir svona 10.
And from that...	Og upp frá því...
Where are you going?... was born us.	Hvert ertu að fara?... urðum við til.
Look at you!	Að sjá þig!
The human race.	Mannkynið. Hr.
Mr. Schwartz, I hear you are leaving us.	Schwartz, ég hef heyrt að þú sért að fara.
No, that won't be soon enough.	Nei, það verður ekki nógu fljótt.
Have you thought about a timeshare in Florida?	Hefurðu hugsað um eign í Flórída?
I could hook you up in Boca.	Ég gæti fundið eitthvað í Boca.
Sit down, Mr. James.	Sestu niður, hr. James.
Now, in that sense, bubbles are evolutionary.	Í þeim skilningi eru bólur þróunarlegs eðlis.
This is only a preliminary proceeding.	Þetta eru bara undirbúningsyfirheyrslur.
But I want you to know you're under investigation on accusations of tax evasion and stock manipulation through, among others, an entity called Locust Fund.	En þú skalt vita að það er verið að rannsaka þig vegna ásakanna um skattsvik og ólögmæt hlutabréfaviðskipti, í gegnum, meðal annars, einingu sem kallast Locust sjóðinn.
Although, I want to first get to the matter of Louis Zabel.	En fyrst vil ég komast til botns í málinu um Louis Zabel.
I see here that you cooperated with this office and with the federal authorities in 1988 when the investigations of one Gordon Gekko began.	Ég sé hér að þú vannst með þessari deild og alríkisyfirvöldum árið 1988 þegar rannsóknin á Gordon Gekko hófst.
They kill excess.	Þær drepa það sem er óþarft.
They lean out the herd.	Þær hreinsa til í hjörðinni.
But they never die.	En þær deyja aldrei.
They just come back in different forms.	Þær koma aftur í nýjum formum.
When they burst, they give birth to a new day.	Og þegar þær springa, þá fæða þær nýjan dag.
Always creating change.	NÝTT YFIRLIT 1.067.746.000,14 Skapa stöðuga breytingu.
Can I carry that?	Má ég bera þetta?
You're not sleeping either?	Sefur þú ekkert heldur?
He woke me up last night.	Hann hélt fyrir mér vöku í nótt.
Can I?	Má ég?
There?	Þarna?
I just got off the phone with Dr. Masters.	Ég var að tala við Dr. Masters í símann.
Yeah?	Já?
Yeah.	Já.
Very happy man.	Mjög glaður maður.
Renewed interests from investors.	Fjárfestar sýna aftur áhuga.
Because of your story.	Vegna sögu þinnar.
So, thank you.	Svo að, takk fyrir.
I miss you, Winnie.	Ég sakna þín, Winnie.
I miss you.	Ég sakna þín.
I don't know how to fix this.	Ég veit ekki hvernig á að laga þetta.
Neither do I. It's different now.	Það hefur allt breyst.
What can I do?	Hvað get ég gert?
I mean, I...	Ég meina, ég...
Nothing.	Ekkert.
Nothing.	Ekkert.
Thank you.	Takk fyrir.
Good night.	Góða nótt.
Good night.	Góða nótt.
Where are you two going?	Hvert eru þið tvö að fara?
What, nobody around here believes in comebacks?	Hvað, hefur enginn hérna trú á endurkomum?
Winn, I owe you something.	Winn, ég skulda þér svolítið.
I don't want it.	Ég vil það ekki.
I never did.	Ég vildi það aldrei.
No, I figured that.	Nei, ég veit það.
But, you know, when choosing between two evils, I like to try the one that I haven't tried before.	En þegar ég þurfti að velja á milli tveggja slæmra kosta, vildi ég prófa það sem ég hef ekki prófað áður.
So I deposited a check of $ 100 million made out to United Fusion.	Ég skrifaði því ávísun upp á 100 milljónir stílaða á United Fusion.
From some offshore fund no one needs to know about.	Frá aflandssjóði sem enginn þarf að vita neitt um.
Wouldn't you say green is the new bubble, Jake?	Myndir þú ekki segja að grænt sé nýja bólan, Jake?
You two make a nice couple.	Þið eruð fallegt par.
You know, Winn, human beings, we got to give them a break.	Þú veist, Winn, manneskjum þarf að gefa annað tækifæri.
We're all mixed bags.	Við erum öll ólík.
But my grandson, and you...	En dóttursonur minn, og þú...
And maybe, you know, you'll let me be a father again.	Og kannski leyfirðu mér að verða pabbi þinn aftur.
What's the matter with you guys?	Til hamingju með afmælið Louie! 1 Hvað er eiginlega að ykkur?
Come on, what's the matter?	Svona nú, hvað er að?
You guys are like the last two on a ship that is sinking.	Þið lítið hörmulega út.
That's pretty.	Þetta er sætt.
Isn't that a Cracker Jack box ring? 0 0 2214 18303 44 1 windows-1252 English 2011-07-11 1/1 1.0 1909 02:02:12,670 English 2010 USA 133 Drama	Žice! Á GUĐ TREYSTUM VIĐ BANDARÍKIN Á GRÆĐGI TREYSTUM VIĐ 1950 Icelandic 1.0 1/1 2012-12-11 02:03:54,941 USA 133 Drama 2010 English 1 2245 0 16329 101 iso-8859-4 0
More than three thousand years ago, a man named Job complained to God about all his troubles.	Fyrir meira en þrjú þúsund árum síðan kvartaði maður að nafni Job til Guðs yfir raunum sínum.
And the Bible tells us that God answered."	Og biblían segir að Guð hafi svarað., Gefur þú hestinum styrkleika?
Kate, Sarah, you have to leave in ten minutes.	Kate, Sarah, 10 mínútur.
When you earn your own money, you can buy gowns for every party.	Þegar þú færð þér vinnu getur þú keypt helling af þeim.
I'm sure we can find something reasonable.	Við finnum örugglega kjól á hagstæðu verði. Kíkjum um helgina.
Not Gewürztraminer, only Riesling.	Ekki Gewürztraminer, bara Riesling.
Mom, can we have pancakes?	Fáum við pönnsur?
Working on it.	Ég er að hræra þær.
Che Guevara or Ho Chi Minh?	Che Guevara eða Ho Chi Minh?
What are you doing?	Hvað ertu að gera?
A Christmas pageant?	Undirbúa jólasýningu.
When?	Hvenær?
Spring.	Fyrir vorið.
It's experimental.	Tilraunaverk.
Has to do with Christmas and lots of things.	Snertir jólin og margt annað.
That's great!	Frábært!
What's the role?	Hvaða hlutverk?
The War Protester.	Stríðsmótmælandinn.
I was thinking that we could...	Ég var að spá í...
The what?	Hvað?
The War Protester.	Stríðsmótmælandinn.
It's a really good role, Mom.	Það er frábært hlutverk.
You'll love it.	Þið verðið hrifin.
You, too, Dad. Tweedy residence.	Tweedy-heimilið.
This is she.	Þetta er hún.
War protester in a Christmas pageant?	Stríðsmótmælandi í jólasýningu?
We'll leave this afternoon.	Við förum síðdegis.
Thank you.	Takk.
What are you doing?	Hvað ertu að gera?
Oh, Hollis.	Ó, Hollis.
Mama's gone.	Mamma er farin.
She's gone.	Hún er farin.
Hi, Jack.	Sæll, Jack.
Hollis, I'm so sorry for your loss.	Ég samhryggist.
Your mother was always so kind to me.	Móðir þín var mér alltaf góð.
Miss Chenery, we're sorry. Thank you.	Fröken Chenery, við samhryggjumst.
Penny...	Takk.
Penny, darling.	Penny.
Darling. Girls, you remember Miss Ham?	Vina mín. Stúlkur, munið þið eftir fröken Ham?
Granddaddy's secretary?	Ritara afa?
Hi, Miss Ham.	Sæl, fröken Ham.
Oh, my, you two have grown.	Þið hafið aldeilis stækkað.
Thank you so much, Miss Ham.	Þakka þér, fröken Ham.
For everything.	Fyrir allt saman.
Hollis said you found her.	Hollis sagði að þú hafir fundið hana.
She had just fallen.	Hún bara féll.
The doctor said she didn't suffer.	Læknirinn sagði að hún þjáðist ekki neitt.
She looked... peaceful.	Hún var... friðsæl að sjá.
How is Daddy?	Hvernig hefur pabbi það?
He keeps asking, "Where is she "?	Hann spyr stöðugt:, Hvar er hún?"
But I'm not sure if he's asking for your mother or you.	Ég er ekki viss hvort hann á við móður þína eða þig.
Girls, I'm going to go in and see your granddaddy now.	Stúlkur, ég ætla að hitta afa núna.
I'll bring you in later.	Ég sæki ykkur á eftir.
Come on, girls. Let's get you something to eat.	Komið nú, við skulum fá okkur að borða.
Don't let them fool you, darling.	Ekki láta blekkja þig, elskan.
It's not whether they think we won.	Það er ekki hvort þeir haldi að við höfum unnið.
It's whether we think we won.	Það er hvort þér finnst þú hafa unnið.
You run your race, Penny.	Hlauptu þitt eigið hlaup, Penny.
We'll take'em.	Við tökum þá.
We just got ourselves a couple new horses.	Við vorum að fá tvo nýja hesta.
Are we going to race them?	Látum við þá keppa?
No.	Nei.
They're going to be mommies and daddies for new horses.	Þeir verða pabbar og mömmur fyrir nýja hesta.
Helen?	Helen?
Daddy, it's Penny.	Pabbi, þetta er Penny.
Penny.	Penny.
You got married.	Þú giftir þig.
Yes.	Já.
But I'm here now.	En ég er hér núna.
Because Mama's gone.	Því mamma er farin.
Mama's pin?	Nælan hennar mömmu?
Yours now.	Þú átt hana núna.
Daddy.	Pabbi.
The Lord shall preserve thy going out, and thy coming in.	Drottinn varðveitir leið þína inn og út úr þessum heimi.
From this time forth and even forever more.	Héðan í frá... og um aldir alda.
And so we return to You your faithful servant, Helen Chenery.	Við skilum til moldar trúföstum þjóni þínum, Helen Chenery.
Loving mother, devoted wife who lived each moment to the fullest, cherishing the life she had with her beloved husband, Christopher.	Ástkærri móður og eiginkonu sem lifði hvert augnablik til fullnustu, í ástkærri sambúð með eiginmanni sínum, Christopher.
And may the peace that passeth all understanding be in your hearts now and forever more.	Megi sá friður sem ofar stendur öllum skilningi vera í hjarta okkar nú og um aldir alda.
Eddie?	Eddie?
Eddie, I just wanted to thank you so much for coming.	Ég vildi þakka þér fyrir að koma.
Miss Penny, your mama was a fine woman.	Fröken Penny, mamma þín var sómakona.
I just feel real bad for Mr Chenery.	Ég samhryggist herra Chenery.
He always thought the world of you. He said you could hear the horses thoughts through your hands.	Hann virti þig mikils, sagði þig heyra hugsanir hesta með snertingu.
Yeah, well, your father's a good man, Miss Penny.	Faðir þinn er sómamaður, fröken Penny.
Thank you.	Þakka þér fyrir.
Mrs Tweedy?	Frú Tweedy?
I'm Arthur Hancock.	Ég er Arthur Hancock.
Your daddy called me...	Pabbi þinn kallaði mig...
Oh, yes, and everyone else did, too, as I recall.	Og allir aðrir líka, minnir mig.
This is my son, Seth.	Þetta er sonur minn, Seth.
Hi, nice to meet you.	Gleður mig.
Thank you for coming.	Takk fyrir komuna.
Your mother was a fine woman.	Móðir þín var sómakona.
It was a privilege just knowing her.	Það voru forréttindi að þekkja hana.
Thank you.	Þakka þér.
I know you're going to be making some changes and if you or your family have any questions, Miss Ham's got my number.	Ég veit að það á að gera breytingar og ef þið hafið spurningar er fröken Ham með númerið mitt.
Thank you, Bull.	Takk, Bull.
Ma 'am...	Frú...
Your daddy's eyes would always light up when he talked about you.	Augu pabba þíns ljómuðu alltaf þegar hann talaði um þig.
How smart you are.	Hvað þú værir gáfuð.
How much you loved the horses.	Hvað þú elskaðir hestana.
Doctor says there may be some brief moments when he is aware of things, but we shouldn't expect much.	Læknirinn segir að stundum viti hann af umhverfinu en það geti varað stutt.
Practical thing would be to put him in a nursing home.	Það væri skynsamlegast að setja hann á hjúkrunarheimili.
This is home to him.	Þetta er hans heimili.
And he knows he's here.	Hann veit að hann er heima.
I'm a professor, and you're a housewife.	Ég er prófessor og þú ert húsmóðir.
I moved up our flight to first thing tomorrow.	Ég flýtti fluginu, við förum í fyrramálið.
I've got to get back.	Ég verð að drífa mig.
Jack, I need a few more days here.	Ég þarf fleiri daga hér.
I have to make sure Daddy's all right, sort through Mother's things.	Ég þarf að tryggja að pabbi spjari sig, fara í gegnum eigur mömmu.
The kids could all do with a little responsibility.	Krakkarnir hefðu gott af smá ábyrgð.
It will just be a few days.	Það verður bara í nokkra daga.
We need to file right away for his power of attorney?	Verðum við ekki að fá fjárráðavöld strax?
Miss Ham says he tried to sell four of his best horses last month for half ofwhat they're worth.	Fröken Ham segir hann hafa reynt að selja fjóra bestu hestana á hálfvirði í síðasta mánuði.
Mom had to step in and stop him, and now...	Mamma varð að stöðva það.
I suppose someone will have to clean up for the liquidation.	Einhver verður að þrífa húsið fyrir eignaskiptin.
Hollis, if you need any help on the tax issues you call me, anytime.	Hollis, ef þú þarft hjálp við skattamál geturðu hringt.
Thanks, Jack.	Takk, Jack.
It will just be for a few days.	Ég verð bara nokkra daga.
Sarah makes great pancakes.	Sarah gerir góðar pönnukökur.
