Good girl.	Svona, já.
There are too many of us down here.	Við erum of mörg hérna.
You won't get to that bag before we do.	Þú nærð ekki töskunni á undan okkur.
But I can make sure it breaks.	En ég get séð til þess að hún rifni.
Come on, don't do this, Sienna, don't.	Ekki gera þetta.
You'll be murdering innocents.	Þú myrðir saklaust fólk.
Yes, people will die, a lot of them, but the crisis will be averted.	Já, fjöldi fólks mun deyja en hættuastandinu verður afstýrt.
It's what nature demands.	Náttúran krefst þessa.
The problem won't just be slowed down, it'll be solved. Permanently.	Þá hægir ekki bara á vandanum, hann verður leystur endanlega.
Killing billions to save lives?	Að drepa milljarði til að bjarga lífum?
That's the logic of tyrants.	Það eru rök ofríkismanna.
For a greater good, humanity...	Fyrir æðri málstað, mannkynið...
Genius does not come with extra rights.	Snilligáfu fylgja ekki réttindi.
No, it comes with the responsibility to take action when others won't.	Nei, henni fylgir sú ábyrgð að grípa til aðgerða þegar aðrir gera það ekki.
You wanna do something?	Viltu gera eitthvað?
Fine.	Ágætt.
Then scream at the top of your lungs and invent and lead!	Æptu þá fullum hálsi, hugsaðu og hafðu frumkvæði.
If you love humanity, if you love this planet, you 'd do anything to save it.	Ef þú elskar mannkynið, þessa plánetu, gerðirðu hvað sem er til að bjarga henni.
The greatest sins in human history have been committed in the name of love.	Stærstu syndir sögunnar voru framdar í nafni kærleika.
No one will look on this act and call it love.	Enginn mun tengja þessa aðgerð við kærleika.
They'll be alive.	Þeir verða lifandi.
What does it matter what they say about us?	Hverju skiptir hvað þeir segja um okkur?
Hey, what are you doing?	Ekkert samband Hvað ertu að gera?
No. Don't shoot the box!	Ekki skjóta á kassann!
Robert, get clear!	Robert, farðu frá!
Are you all right?	Er allt í lagi með þig?
You all right? I'm fine.	Já, allt í lagi.
Where's the box?	Hvar er kassinn?
The virus is completely contained.	Veiran er trygg.
All medical units stand by.	Sjúkralið, biðið átekta.
We'll take it from here, Dr. Sinskey.	Við tökum við, Sinskey.
Target is contained and preparing for transport.	Markið er tryggt og undirbúið fyrir flutning.
Containment confirmed.	Lokun staðfest.
I repeat, containment confirmed.	Ég endurtek, lokun staðfest.
All right.	Allt í lagi.
I'm on it.	Ég er með þetta.
She thought she was saving the world.	Hún hélt að hún væri að bjarga heiminum.
So did they all.	Eins og þau öll.
So, what happens now?	Hvað gerist nú?
We take it back to Geneva for taxonomy and isolation.	Við förum með hana til Genfar til flokkunar og einangrunar.
We have to generate a metagenome sequence first to get an idea of what we're dealing with.	Fyrst þarf að framkalla ferli erfðamengja til að sja við hvað er að fást.
There's a lot of work to be done.	Það er mikil vinna eftir.
And you?	Og þú?
Cambridge?	Cambridge?
Dr. Sinskey?	Sinskey?
Life pulls us apart again.	Enn stíar lífið okkur í sundur.
Like Dante and Beatrice.	Eins og Dante og Beatrice.
I have something for you.	Ég er með dálítið handa þér.
I picked this up the night you were taken.	Ég náði í þetta kvöldið sem þér var rænt.
I seem to remember it was important to you.	Mig minnir að það hafi verið þér mikilvægt.
Yes. Yes, it is.	Já, það er rétt.
Do you ever think about what could happen with you and me?	Hugsarðu stundum um... hvað gæti orðið á milli okkar?
I guess life must have its mysteries, professor.	Lífið verður víst að hafa sína leyndardóma.
Even for us.	Jafnvel fyrir okkur.
Do you speak English?	Flórens, Ítalíu Klukkan 9:
Yes.	00 Afsakið?
Have you seen Marta Alvarez of the museum staff?	Hefurðu séð Mörtu Alvarez sem vinnur hér?
Marta isn't here just now.	Marta er ekki að vinna.
She's had her baby.	Hún er nýbúin að fæða.
She had her baby?	Er hún búin að fæða barnið?
Oh, that is great news. Great news.	Það eru góðar fréttir.
Yes.	Já.
First trip to New York?	Fyrsta heimsókn til New York?
Anything edible in there?	Er eitthvað ætt í töskunni?
No.	Nei.
Livestock?	Húsdýr?
Must get that fixed.	Ég verð að láta laga þetta.
Let me take a look.	Leyfðu mér að sjá.
Welcome to New York.	MUGGAHÆF Velkominn til New York.
Thank you.	Þakka þér fyrir.
And it was like a... Like a wind. Or like a...	Þetta var eins og vindur Eða eins og...
Like a ghost.	Eins og vofa.
But dark.	Svo dimmt.
And I saw its eyes.	Ég sá augun í þessu.
Shining white eyes.	Skínandi hvít augu.
A dark wind, with eyes?	Dimmur vindur með augu?
It's like a dark mass.	Frekar dimmur massi.
And it dove down there. Down underground.	Þetta stakk sér niður þarna, langt niður í jörðina.
Someone ought to do something about it.	Einhver ætti að gera eitthvað í þessu.
It's everywhere, this thing. It's out of control.	Þetta er alls staðar og alveg stjórnlaust.
Hey, you get anything?	Náðirðu einhverju?
Dark wind. Blah, blah.	Dimmur vindur, bla bla.
Some sorta atmospheric hooey. Or electrical.	Einhvers konar loftþrýstings - eða rafmagnsvesen.
Hey, you thirsty?	Ertu þyrstur?
No. I'm on the wagon.	Nei, ég er edrú.
Promised Martha I 'd lay off.	Ég lofaði Mörthu að hætta.
It's atmospheric.	Loftþrýstingur Afsakið.
Out of the way, folks.	Hleypið mér fram hjá.
Coming through! This great city sparkles with the jewels of man's inventions.	Þessi mikla borg ljómar af gimsteinum uppfinninga mannsins.
Movie theaters, automobiles, the wireless, electric lights, all dazzle and bewitch us.	Kvikmyndahús, bifreiðar, útvarp og rafmagnsljós heilla og töfra okkur.
I'm so sorry.	Afsakaðu.
But where there is light, there is shadow, friend.	En þar sem er ljós leynast líka skuggar.
Something is stalking our city, wreaking destruction and then disappearing without a trace!	Eitthvað herjar á borgina okkar, veldur eyðileggingu og hverfur svo sporlaust.
Listen to me. We have to fight.	Við verðum að berjast.
Hey! Watch it!	Passaðu þig.
Friend.	Vinur.
What drew you to our meeting today?	Hvað fékk þig á okkar fund í dag?
I was just passing.	Ég átti bara leið hjá.
Are you a seeker?	Ertu leitari?
A seeker after truth?	Leitar þú sannleikans?
I'm more of a chaser, really.	Ég er meira fyrir að elta.
Hear my words. And heed my warning.	Hlýðið á orð mín. Hugið að váboðanum.
And laugh if you dare.	Hlæið ef þið þorið.
Witches live among us.	Nornir lifa á meðal okkar.
We have to fight together for the sake of our children.	Við verðum að berjast saman fyrir börnin okkar.
For the sake of tomorrow.	Fyrir framtíðina.
What do you say to that, friend?	Hvað segirðu við því, vinur?
Excuse me.	Fyrirgefðu.
Can I help you, sir?	Get ég aðstoðað þig?
No, I was just...	Nei...
I was just waiting.	Ég er bara að bíða.
Hi.	Sæll.
What brings you here?	Hvað ert þú að gera hérna?
Same as you.	Það sama og þú.
You're here to get a loan to open up a bakery?	Sækja um lán til að opna bakarí?
What are the odds of that?	Hverjar eru líkurnar?
Well, may the best man win, I guess.	Megi betri maðurinn vinna.
Excuse me.	Afsakaðu.
Hey!	Heyrðu.
Hey, mister!	Heyrðu, manni.
Hey, mister.	Heyrðu, manni.
Hey, fella.	Heyrðu, vinur.
Mr. Kowalski, Mr. Bingley will see you now.	Herra Kowalski, herra Bingley er tilbúinn.
Okay.	Allt í lagi.
Got back?	Komstu heim?
From Europe, sir. Yeah.	Frá Evrópu, herra.
It's my grandmother's recipe.	Uppskriftin hennar ömmu.
The orange zest just...	Appelsínubörkurinn er...
Mr. Kowalski.	Herra Kowalski.
What do you propose to offer the bank as collateral?	Hvað leggurðu til að bankinn taki að veði?
Collateral?	Að veði?
Collateral.	Veði.
There are machines now that can produce hundreds of donuts an hour.	Nú eru til vélar sem framleiða hundruð kleinuhringja á klukkustund.
I know. I know. But they're nothing like what I can do.	Ég veit, en það er allt annað en ég geri.
You... The bank must be protected, Mr. Kowalski.	Ég verð að gæta hagsmuna bankans, herra Kowalski.
Good day to you.	Vertu sæll.
Hey! Mr. English Guy!	Heyrðu, herra Englendingur.
I think your egg is hatching.	Eggið þitt er að klekjast út.
What just happened?	Hvað gerðist?
But, excuse me?	Fyrirgefðu?
I was over there. Came over...	Ég var þarna og kom hingað...
I was over there.	Ég var þarna.
In you hop.	Farðu ofan í töskuna.
Hello?	Halló?
Everyone settle down.	Verið öll róleg.
Stay.	Kyrr.
Dougal, don't make me come in there. Don't make me come down there.	Ég vil ekki þurfa að koma niður Ekki neyða mig til að koma til ykkar.
Absolutely not.	Kemur ekki til mála.
Alohomora.	Alohomora.
So you're gonna steal the money?	Ætlarðu þá frekar að stela peningunum?
Petrificus Totalus.	Petrificus Totalus.
Mr. Bingley!	Herra Bingley.
Kowalski.	Kowalski.
Really?	Í alvöru?
No. Don't play that.	Nei, ekki láta svona.
Look.	Sjáðu.
Oh, no.	Æ, nei.
No, no, no. Don't...	Nei, ekki skjóta.
Don't shoot.	Ekki skjóta.
Nothing that need concern you.	Ekkert sem kemur þér við.
Now, unfortunately, you have seen far too much.	En þú hefur því miður séð allt of mikið.
Sorry.	Fyrirgefðu.
Bugger.	Skrambinn.
Who are you?	Hver ertu?
I'm sorry.	Hvað segirðu?
Newt Scamander.	Newt Scamander.
And you are?	Hver ert þú?
What's that thing in your case?	Hvað er í töskunni?
That's my Niffler.	Napparinn minn.
Say, you've got something on your...	Þú ert með eitthvað...
Why in the name of Deliverance Dane did you let that thing loose?	Af hverju í nafni Deliverance Dane slepptirðu þessu lausu?
I didn't mean to.	Það var óvart.
He's incorrigible, you see.	Hann er óforbetranlegur.
At least tell me you took care of the No-Maj.	Segðu að þú hafir séð um galdraleysingjann.
The what?	Hvað?
The No-Maj.	Galdraleysingjann.
No-Magic. The non-wizard!	Náungann sem var ekki galdramaður.
Sorry, we call them Muggles.	Við köllum þá Mugga.
You wiped his memory, right?	Hreinsaðirðu ekki minni hans?
The No-Maj with the case?	Galdraleysingjans með töskuna?
That's a Section 3-A, Mr. Scamander.	Þetta er brot á lögum 3A, herra Scamander.
I'm taking you in.	Þú ert handtekinn.
Come on.	Komdu.
Sorry, but I do have things to do, actually. Well...	Það er því miður svo margt sem ég þarf að gera.
You'll have to rearrange them.	Þú verður að gera það síðar.
What are you doin' in New York anyway?	Hvað ertu að gera í New York?
I came to buy a birthday present.	Ég kom til að kaupa afmælisgjöf.
Couldn't you have done that in London?	Gastu það ekki í London?
No, there's only one breeder of Appaloosa Puffskeins in the world, and he lives in New York. So, no.	Aðeins einn maður ræktar Appaloosa-loðinhnoðra og hann býr í New York svo svarið er nei.
I got a Section 3-A.	Þessi braut lög 3A.
Hey.	Heyrðu.
By the way, we don't allow the breeding of magical creatures in New York.	Meðan ég man, þá leyfum við ekki ræktun galdraskepna í New York.
We closed that guy down a year ago.	Við stöðvuðum þennan mann í fyrra.
Hey, Goldstein.	GALDRAAFHJÚPUNARHÆTTA GRÍÐARLEG ÓÚTSKÝRÐ VIRKNI Sæl, Goldstein.
Hey, Red.	Sæll, Rauður.
They think this is related to Grindelwald's attacks in Europe.	Þau telja þetta tengjast árásum Grindelwalds í Evrópu.
I was there.	Ég var á staðnum.
This is a beast.	Þetta er skepna.
No human could do what this thing is capable of, Madam President.	Enginn maður er nógu öflugur til að valda þessu, frú forseti.
Whatever it is, one thing is clear. It must be stopped.	Hvað sem þetta er verðum við að stöðva það.
It's terrorizing No-Majs. And when No-Majs are afraid, they attack.	Þetta skelfir galdraleysingja og þá verða þeir árásargjarnir.
This could mean exposure.	Þetta gæti endað með afhjúpun.
It could mean war.	Það gæti leitt til stríðs.
I made your position here quite clear, Ms. Goldstein. Yes, Madam President. But I...	Ég gerði þér stöðu þína hérna alveg skýra, fröken Goldstein.
Madam President, but...	Já, frú forseti, en...
Get out.	Út með þig.
Yes, ma 'am.	Já, frú.
So you got your wand permit?	SPROTALEYFISSTOFA Ertu með sprotaleyfi?
All foreigners have to have them in New York.	Allir útlendingar þurfa að hafa leyfi hérna.
I made a postal application weeks ago.	Ég sendi umsókn með pósti fyrir mörgum vikum.
Scamander... And you were just in Equatorial Guinea?	Scamander Varstu í Miðbaugs-Gíneu?
And I've just completed a year in the fields.	Ég lauk ári á vettvangi.
I'm writing a book about magical creatures.	Ég er að skrifa bók um galdraskepnur.
Like an extermination guide?	Leiðbeiningar til að eyða þeim?
No, a guide to help people understand why we should be protecting these creatures instead of killing them.	Nei, handbók sem kennir fólki að skilja að við ættum að vernda skepnur frekar en að drepa þær.
Goldstein?	Goldstein?
Where is she?	Hvar er hún?
Did you just butt in on the investigative team again?	Varstu að trufla rannsóknarteymið aftur?
Where have you been?	Hvar hefurðu verið?
What?	Hvað?
Where 'd she pick you up?	Hvar gómaði hún þig?
Me?	Mig?
Have you been tracking them Second Salemers again?	Ertu ennþá að fylgjast með Ný-Salemistunum?
Of course not, sir.	Auðvitað ekki, herra.
Afternoon, Mr. Graves, sir.	Komdu sæll, herra Graves.
Afternoon, Abernathy.	Komdu sæll, Abernathy.
Mr. Graves, sir, this is Mr. Scamander.	Herra Graves, þetta er herra Scamander.
