Affirmative.	Staðfest.
I'll say you'll go back to her and it'll be like when you first got married.	Ég segi henni að þú munir koma aftur og allt verði eins og þegar þið voruð nýgift.
You'll romance her.	Þú beitir smá rómantík.
It'll be beautiful.	Þetta lukkast.
I know how to talk to her.	Ég veit hvernig á að tala hana til.
Jimmy and Tommy were going to Tampa this weekend to pick up something for me.	Jimmy og Tommy áttu að fara til Tampa um helgina að sækja svolítið fyrir mig.
Instead, you'll go with Jimmy.	Ég vil að þú farir með Jimmy.
You come with me.	Þú kemur með mér.
Have a good time.	Skemmtir þér.
Sit in the sun.	Sleikir sólskinið.
Take a couple days off.	Tekur þér tveggja daga frí.
We'll have a good time.	Við skemmtum okkur.
When you come back, you'll go back to Karen.	Þegar þú kemur aftur, ferðu til Karenar.
Please, there's no other way.	Það er eina leiðin.
No divorce.	Engan skilnað.
We're not animali.	Við erum ekki skepnur.
She'll never divorce him.	Hún myndi aldrei skilja við hann.
She'll kill him, but not divorce him.	Hún gæti drepið hann en ekki skilið við hann.
You going to pay us?	Ætlarðu að borga?
Give us the fucking money!	Tampa, Flórída Tveimur Dögum Seinna Láttu okkur fá peningana!
I can't.	Ég get það ekki.
Let's go.	Förum.
We'll throw the bastard to the lions.	DÝRAGARĐURINN Í TAMPA Við köstum ræflinum fyrir ljónin.
Lions?	Ljónin?
I ain't going near any lions!	Ég kem ekki nálægt neinum ljónum!
Throw him over the moat.	Hendum honum yfir grindverkið.
I'll get the money!	Ég skal útvega peningana!
They must really feed each other to the lions, 'cause he gave the money right up.	Þeir hljóta að henda mönnum fyrir ljónin þarna í raun því hann borgaði strax.
I'll get the money.	Ég skal útvega peningana!
When we got home, we were all over the newspaper.	Þegar við komum heim var talað um okkur í öllum blöðum.
At first I didn't even know why we got picked up.	Fyrst vissi ég ekki einu sinni af hverju við vorum teknir.
Then I found out the guy we roughed up had a sister working as a typist for the FBI.	Síðan komst ég að því að systir náungans sem við börðum, er ritari hjá Alríkislögreglunni.
I couldn't believe it.	Þetta var ótrúlegt.
Of all people.	Af öllu fólki.
She gave up everybody.	Hún vísaði á okkur alla.
Jimmy, me.	Jimmy, mig og meira segja bróður sinn.
Even her brother. It took the jury six hours to bring us in guilty.	Það tók kviðdómendur sex tíma að úrskurða okkur seka.
The judge gave us ten years, like he was giving away candy.	Dómarinn dæmdi okkur til tíu ára án þess að blikna.
Ten years in a federal penitentiary.	Til fangavistar í tíu ár.
You will now be turned over to the U.S. Attorney General.	Embætti ríkissaksóknara tekur nú við ykkur.
Toast, guys.	Skál, félagar.
Good trip, good life.	Góða ferð, líði ykkur vel.
Get out soon.	Komið út sem fyrst.
Good trip, sweetheart.	Góða ferð, vinur.
I'll call you when I get a chance.	Ég hringi þegar tækifæri gefst.
Now take me to jail.	Farðu nú með mig í fangelsið.
In prison, dinner was always a big thing.	Í fangelsinu var kvöldmaturinn alltaf stórmál.
We had a pasta course, then we had a meat or a fish.	Fyrst var pastaréttur og síðan kjöt eða fiskur.
Paulie did the prep work.	Paulie sá um undirbúninginn.
He was doing a year for contempt and had a wonderful system for garlic.	Hann afplánaði ár fyrir óhlýðni og fann upp stórkostlega aðferð með hvítlaukinn.
He used a razor and sliced it so thin it would liquefy in the pan with a little oil.	Hann notaði rakvélarblað og skar laukinn svo þunnan að hann bráðnaði á pönnunni í lítilli olíu.
It was a very good system.	Þetta var mjög góð aðferð.
Vinnie was in charge of the tomato sauce.	Vinnie hafði yfirumsjón með pastasósunni.
Get that smell?	Finnurðu lyktina?
Three kinds of meat in the meatballs: Veal, beef, and pork.	Það er þrenns konar kjöt í bollunum: kálfa -, nauta - og svínakjöt.
You got to have pork.	Svínakjötið verður að vera.
That's the flavor.	Það gefur bragðið.
I felt he used too many onions, but it was still a very good sauce.	Mér fannst hann setja of mikinn lauk en sósan var samt mjög góð.
Don't put too many onions in the sauce.	Ekki setja of mikinn lauk út í sósuna.
I didn't put too much onions in, Paul.	Ég setti ekki of mikinn lauk.
There are only three small onions.	Ég setti bara þrjá litla lauka.
Three onions?	Þrjá lauka?
How many tomatoes?	Hversu mikið af tómötum?
Two big cans.	Tvær stórar dósir.
You don't need three onions.	Það þarf ekki þrjá lauka í það.
Johnny Dio did the meat.	Johnny Dio sá um kjötið.
We had no broiler, so he did everything in pans.	Við vorum ekki með neitt grill svo hann steikti allt á pönnu.
It wasn't bad, but I missed Jimmy, who was doing his time in Atlanta.	Þetta var ekki slæmt en ég saknaði Jimmy. Hann afplánaði sinn dóm í Atlanta.
We owned the joint.	Við áttum staðinn.
We batted them sons of bitches. You couldn't recognize them.	Við börðum þá svo illa að þeir voru óþekkjanlegir.
They deserved it.	Þeir áttu það skilið.
What 'd you bring?	Hvað komstu með?
I got peppers and onions. Salami, prosciutto, a lot of cheese.	Brauð, papriku, lauk, salami, skinku, heilmikið af osti.
What else?	Hvað meira?
Scotch.	Viský.
Nice.	Gott.
Red wine.	Rauðvín.
Okay.	Fínt.
Now we can eat.	Nú getum við borðað.
Some white, too.	Hvítvín, líka.
Okay, boys, let's eat.	Jæja, félagar, nú borðum við.
Come on, Johnny, Vinnie.	Johnny, Vinnie, komið.
Tomorrow we eat sandwiches.	Á morgun borðum við samlokur.
You got to go on a diet, Vinnie.	Þú þarft að fara í megrun, Vinnie.
Read'em and weep.	Lítið bara á.
What are you doing?	Hvað ertu að gera?
I'll catch you guys later.	Við sjáumst á eftir.
Going for a walk in the park?	Á að fá sér göngutúr í garðinum?
I'll catch you next week.	Hittumst aftur í næstu viku.
Thanks.	Takk.
Is there any more?	Eitthvað fleira?
No, that's it.	Nei.
Have a good weekend.	Góða helgi.
You girls stay right here.	Bíðið hérna, stelpur.
Hold hands.	Leiðist.
Go right up front.	Farðu fremst.
I saw her name on the register.	Ég sá nafnið hennar í bókinni.
Want her to visit you?	Viltu að hún heimsæki þig?
Let her stay up all night crying and writing to the parole board.	Hún getur þá vakið grátandi á nóttunni og skrifað skilorðsnefndinni.
What am I doing here?	Hvað er ég að gera hérna?
Where am I?	Hvar er ég?
I'm in jail.	Ég er í fangelsi.
I can't stop people from visiting me.	Ég get ekki hindrað fólk í að koma.
Let her sneak this stuff in for you every week.	Láttu hana smygla þessu drasli inn í hverri viku.
Let her fight these bastards every week!	Láttu hana glíma við þessa aumingja!
Look what you're doing!	Sjáðu hvað þú gerðir!
Stop it!	Hættu þessu!
I'm sorry.	Fyrirgefðu.
Let her sneak this shit in for you.	Láttu hana smygla þessum skít inn.
Will you stop it?	Viltu hætta þessu?
Let her do it!	Láttu hana gera það!
Stop it!	Hættu þessu!
Nobody's helping me.	Það hjálpar mér enginn.
I am all alone.	Ég er alein.
Belle and Morrie are broke.	Belle og Morrie eru blönk.
I asked your friend Remo for the money he owes you.	Ég bað Remo vin þinn um peningana sem hann skuldar þér.
He told me to take the kids down to the police station and get on welfare.	Hann sagði mér að fara með krakkana niður á stöð og fá framfærslustyrk.
It's going to be okay.	Þetta fer allt vel.
I've never seen Paulie since he got out.	Ég hef ekki séð Paulie síðan hann slapp.
I never see anyone.	Ég sé aldrei neinn.
Forget Paulie.	Gleymdu Paulie.
As long as he's on parole he doesn't want anybody doing anything.	Á meðan hann er á skilorði vill hann ekki að neinn geri neitt.
I can't do it.	Ég get þetta ekki.
Yes, you can.	Víst.
All I need is for you to bring me this stuff.	En þú verður að halda áfram að koma með þetta dót.
A guy in here from Pittsburgh will help me move it.	Náungi hér frá Pittsburgh ætlar að hjálpa mér að selja það.
In a month we'll be fine.	Eftir mánuð verður allt í lagi.
We won't need anybody.	Við þurfum enga hjálp.
I'm afraid.	Ég er hrædd.
I'm afraid if Paulie finds out...	Ég er hrædd um að ef Paulie kemst að...
He is not helping us out.	Hann er ekki að hjálpa okkur.
Is he putting any food on the table?	Lætur hann okkur fá til hnífs og skeiðar?
We've got to help each other.	Við verðum að hjálpast að.
We got to be really, really careful while we do it.	Og við verðum að fara mjög, mjög varlega.
I don't want to hear about her anymore.	Ég vil ekki heyra orð um hana meir.
Never.	Aldrei.
We missed you.	Fjórum Árum Seinna.
Are you here to stay?	Ertu kominn til að vera?
Did you see our pictures?	Sástu myndirnar okkar?
I did the one with the house and rainbow.	Ég teiknaði húsið og regnbogann.
I did the sun.	Ég gerði sólina.
My chorus concert is in two weeks.	Það eru kórtónleikar hjá mér eftir tvær vikur.
Are you coming?	Ætlarðu að koma?
Do you like the house?	Hvernig líst þér á húsið?
Get packed.	Pakkaðu niður.
We're moving out.	Við erum að flytja.
With what?	Fyrir hvaða peninga?
Just start looking for a new house.	Farðu bara að litast um eftir nýju húsi.
I got to go to Pittsburgh.	Ég verð að fara til Pittsburgh.
Those guys owe me $ 15,000.	Þeir skulda mér 15.000 þar.
We'll be okay.	Við björgumst.
I got things lined up.	Ég er með ýmislegt á prjónunum.
Pittsburgh?	Pittsburgh?
You have to see your parole officer.	Þú þarft að hitta skilorðseftirlitsmanninn.
Don't worry about it.	Hafðu ekki áhyggjur.
Everything will be fine.	Þetta verður allt í lagi.
Who wants to go to Uncle Paulie's?	Hver vill fara til Paulie frænda?
What do you want?	Hvað?
Sweetheart, let Mommy eat.	Leyfðu mömmu þinni að borða, vinan.
You look good.	Þú lítur vel út.
Did you eat this good in the joint?	Fékkstu svona góðan mat í steininum?
I don't want any more of that shit.	Ég vil ekki heyra af meira dópi.
What are you talking about?	Um hvað ertu að tala?
Just stay away from the garbage.	Komdu ekki nálægt því.
Inside, you did what you had to do.	Þegar þú sast inni, gerðirðu það sem þú þurftir.
I'm talking about now. From here and now.	Ég er að tala um frá og með núna.
Why would I get into that?	Af hverju ætti ég að gera það?
Don't make a jerk of me.	Ég er enginn bjáni.
Just don't do it.	Ekki gera það.
Don't do it.	Ekki gera það.
I want to talk about Jimmy.	Ég vildi tala við þig um Jimmy.
Watch out for him.	Hafðu auga með honum.
He's a good earner, but he takes too many chances.	Hann græðir vel en tekur of margar áhættur.
I wouldn't take chances like Jimmy.	Ég tek ekki áhættur eins og hann.
Tommy's a good kid, but he's crazy.	Tommy er góður strákur, en örgeðja.
He's got too much to prove.	Hann þarf að sanna of margt.
You got to watch out for them.	Þú verður að hafa auga með þeim.
I only use them for certain things.	Ég nota þá bara í ákveðin verk.
I ain't going to get fucked like Gribbs.	Ég ætla ekki að enda eins og Gribbs.
Gribbs is 70 years old and he'll die in prison.	Gribbs er 70 ára og mun deyja í steininum.
I don't need that.	Ég vil það ekki.
So I'm warning everybody.	Ég vara því alla við.
Could be my son, could be anybody.	Jafnt minn eigin son sem aðra.
Gribbs got 20 years just for saying hello to some fuck who was selling junk.	Gribbs fékk 20 ára dóm bara fyrir að heilsa einhverjum aumingja sem seldi dóp.
That won't happen to me, understand?	Ég á ekki eftir að lenda í því, er það skilið?
You're out early because I got you a job.	Þú slappst út snemma því ég fann vinnu handa þér.
I don't need this heat.	Ég vil ekki þetta stress.
You see anybody with shit you tell me.	Ef þú sérð einhvern með dóp þá láttu mig vita.
Anybody.	Hvern sem er.
All right.	Allt í lagi.
Yeah? Yeah.	Skilið?
Of course.	Auðvitað.
Even with Sandy snorting more than she mixed, I saw this was a good business.	Jafnvel þótt Sandy notaði meira en hún blandaði, var heilmikið að græða á þessu.
I made $ 12,000 in my second week.	Ég græddi 12.000 dollara aðra vikuna mína.
I had a down payment on my house and things were rolling.	Ég átti fyrir útborgun á húsi og hlutirnir gengu vel.
All I had to do was once in a while tell Sandy I loved her.	Ég þurfti bara að segja Sandy öðru hvoru að ég elskaði hana.
It was perfect.	Þetta var fullkomið.
As long as I got the stuff from Pittsburgh, Paulie would never find out.	Meðan efnið kom frá Pittsburgh þurfti Paulie ekki að komast að þessu.
Within a couple of weeks it got so big I needed some help.	Eftir nokkrar vikur var þetta orðið svo umsvifamikið að ég þurfti hjálp.
I got Jimmy and Tommy to come in with me.	Ég fékk Jimmy og Tommy með mér.
It's fucking great.	Þetta er frábært.
You bring your pay slips?	Komstu með launaseðlana þína?
Come on.	Komdu.
This was imported. It came in two pieces.	Þetta er innflutt og kom í tveimur hlutum.
Do you believe what they can do?	Ötrúlegt hvað hægt er að gera.
Nice, huh?	Flott, ekki satt?
Come here.	Komdu hérna.
Did you and Jimmy talk?	Talaðirðu við Jimmy?
He's looking into everything.	Hann er að kanna málið.
It'll make the Air France hold look like peanuts.	Air France-málið er ekkert miðað við þetta.
Come on.	Láttu ekki svona.
He'll do it, right?	Ætlar hann ekki að gera það?
I told you.	Ég sagði þér það.
He's looking into it.	Hann er að kanna málið.
We'll see what happens.	Við sjáum hvað setur.
No promises.	Ég lofa engu.
Do you understand?	Skilurðu ekki?
There's millions in there.	Þetta snýst um milljónir.
I've been cultivating this son of a bitch for two years.	Ég er búinn að leggja rækt við þennan drullusokk árum saman.
He owes me 20 grand.	Hann skuldar mér 20.000.
Once in a lifetime.	Einstakt tækifæri.
I could retire.	Ég gæti sest í helgan stein.
No more nut every week.	Ekkert meira streð.
No more bullshit.	Ekkert kjaftæði.
My dream comes true.	Draumur minn yrði að veruleika.
Let's get a drink.	Fáum okkur drykk.
These are the guys Jimmy put together for what turned out to be the biggest heist in American history. The Lufthansa heist.	Þetta eru náungarnir sem Jimmy kallaði til í það sem varð stærsta rán í sögu Bandaríkjanna, Lufthansa-ránið.
