Chapter 1 - Of Fiddle Mord	Kafli 1
Kari comes home, and Njal's sons ask how things had gone between Thrain and him.	Kári kemur heim og spyrja Njálssynir hversu orð fóru með þeim Þráni.
Kari said he would rather not repeat the words that had passed, "but," he went on, "it is to be looked for that the like words will be spoken when ye yourselves can hear them".	Kári kvaðst ekki herma mundu orð þeirra «því að mér er von að mælt sé slíkt svo að þér heyrið.»
Thrain had fifteen house-earles trained to arms in his house, and eight of them rode with him whithersoever he went.	Þráinn hafði sextán karla vígja á bæ sínum og riðu átta með honum hvert er hann fór.
Thrain was very fond of show and dress, and always rode in a blue cloak, and had on a guilded helm, and the spear - the Earl's gift - in his hand, and a fair shield, and a sword at his belt.	Þráinn var skrautmenni mikið. Hann reið jafnan í blárri kápu og hafði gylltan hjálm og spjót í hendi jarlsnaut og fagran skjöld og gyrður sverði.
Along with him always went Gunnar Lambi's son, and Lambi Sigurd's son, and Grani, Gunnar of Lithend's son.	Með honum var jafnan í för Gunnar Lambason og Lambi Sigurðarson og Grani son Gunnars frá Hlíðarenda.
But nearest of all to him went Killing-Hrapp.	Víga-Hrappur gekk honum þó næst jafnan.
and it was mostly their doing that no atonement was offered to them.	Þeir lögðu verst til þeirra Njálssona Víga-Hrappur og Grani Gunnarsson og ollu því mest er þeim var engi sæmd ger eða boðin.
Njal's sons often spoke to Kari that he should ride with them;	Synir Njáls ræddu nú um við Kára að hann mundi fara með þeim til Grjótár.
and it came to that at last, for he said it would be well that they heard Thrain's answer.	Og það gerði hann og kvað það vel að þeir heyrðu svör Þráins.
Then they busked them, four of Njal's sons, and Kari the fifth, and so they fare to Gritwater.	Bjuggust þeir þá fjórir Njálssynir og Kári hinn fimmti. Þeir fara til Grjótár.
There was a wide porch in the homestead there, so that many men might stand in it side by side.	Þar var anddyri breitt og máttu margir menn standa jafnfram.
There was a woman out of doors, and she saw their coming, and told Thrain of it;	Kona ein var úti og sá ferð þeirra og segir Þráni.
he bade them to go out into the porch, and take their arms, and they did so.	Hann bað menn ganga í anddyrið og taka vopn sín. Þeir gerðu svo.
Thrain stood in mid-door, Killing-Hrapp and Grani Gunnar's son stood on either hand of him; then next stood Gunnar Lambi's son, then Lodinn and Tjorvi, then Lambi Sigurd's son; then each of the others took his place right and left; for the house-earles were all at home.	Stóð Þráinn í miðjum dyrum en þeir stóðu til sinnar handar hvor Víga-Hrappur og Grani Gunnarsson, þar næst Gunnar Lambason, þá Loðinn og Tjörvi, þá Lambi Sigurðarson, þá hver að hendi því að karlar voru allir heima.
Skarphedinn and his men walk up from below, and he went first, then Kari, then Hauskuld, then Grim, then Helgi.	Þeir Skarphéðinn ganga að neðan og gekk hann fyrstur, þá Kári, þá Höskuldur, þá Grímur, þá Helgi.
But when they had come up to the door, then not a word of welcome passed the lips of those who stood before them.	En er þeir koma að dyrunum féllust þeim allar kveðjur er fyrir voru. Þá mælti Skarphéðinn:
Hallgerda stood in the porch, and had been talking low to Hrapp, then she spoke out loud -	Hallgerður stóð í anddyrinu og hafði talað hljótt við Hrapp. Hún mælti:
"None of those who are here will say that ye are welcome." Then Skarphedinn sang a song.	«Það mun engi mæla sá er fyrir er að þér séuð velkomnir.»
"These words of thine thou shalt pay for," she says, "ere thou farest home."	«Goldin skulu þér þessi orð áður þú ferð heim,» segir Hallgerður.
"Thee am I come to see, Thrain," said Helgi, "and to know if thou will make me any amends for those wrongs and hardships which befell me for thy sake in Norway."	Helgi mælti: «Þig er eg kominn að finna Þráinn ef þú vilt gera mér sæmd nokkura fyrir hrakningar þær er eg hlaut í Noregi fyrir þínar sakir.»
"I never knew," said Thrain, "that ye two brothers were wont to measure your manhood by money; or, how long shall such a claim for amends stand over?"	Þráinn mælti: «Aldrei vissi eg að þið bræður munduð gera drengskap ykkarn til fjár eða hversu lengi skal fjárbón sjá yfir standa?»
"Many will say," says Helgi, "that thou oughtest to offer us atonement, since thy life was at stake."	«Það munu margir mæla,» segir Helgi, «að þú ættir að bjóða sæmdina þar sem líf þitt lá við.»
and she dragged you under disgrace and hardship, but us away from them."	«Þar gerði nú gæfumuninn er sá hlaut skellinn er skyldi og dró yður undir hrakningina en oss undan.»
"Little good luck was there in that," says Helgi, "to break faith with the Earl, and to take to thee instead."	«Lítil var það gæfa,» segir Helgi «að bregða trúnaði sínum við jarl en taka þig við.»
"Thinkest thou not that thou hast some amends to seek from me?" says Hrapp, "I will atone thee in a way that, methinks, were fitting."	«Þykist þú eigi að mér eiga bótina?» segir Hrappur. «Eg mun bæta þér því sem mér þykir maklegt.»
"The only dealings we shall have," says Helgi, "will be those which will not stand thee in good stead."	«Þau ein skipti munum við við eigast,» segir Helgi, «að þér mun ekki betur gegna.» Skarphéðinn mælti:
"Don't bandy words with Hrapp," said Skarphedinn, "but give him a red skin for a grey."ö	«Skiptið ekki orðum við Hrapp en gjaldið honum rauðan belg fyrir grán.»
"Hold thy tongue, Skarphedinn," said Hrapp, "or I will not spare to bring my axe on thy head."	Hrappur mælti: «Þegi þú Skarphéðinn, ekki skal eg spara að bera mína öxi að höfði þér.»
"Away with you home, ye 'Dung-beardlings!'" says Hallgerda, "and so we will call you always from this day forth; but your father we will call 'the Beardless Carle'."	«Farið heim taðskegglingar,» segir Hallgerður, «og munum vér yður svo jafnan kalla héðan í frá en föður yðvarn karl hinn skegglausa.»
They did not fare home before all who were there had made themselves guilty of uttering those words, save Thrain; he forbade men to utter them.	Þeir fóru eigi fyrr heim en allir urðu sekir þessa orða, þeir er fyrir voru, nema Þráinn. Hann þekti menn af orðum þessum.
Then Njal's sons went away, and fared till they came home;	Þeir fóru í braut Njálssynir og fóru þar til er þeir komu heim.
then they told their father.	Þeir sögðu föður sínum.
"Did ye call any men to witness of those words?" says Njal.	«Nefnduð þér nokkura votta að orðunum?» segir Njáll.
"We called none," says Skarphedinn; "we do not mean to follow that suit up except on the battlefield."	«Enga,» sagði Skarphéðinn, «vér ætlum ekki að sækja þetta nema á vopnaþingi.»
"No one will now think," says Bergthora, "that ye have the heart to lift your weapons."	«Það mun engi nú ætla,» segir Bergþóra, «að þér þorið handa að hefja.»
"Spare thy tongue, mistress!" says Kari, "in egging on thy sons, for they will be quite eager enough."	«Haf þú lítinn við húsfreyja,» segir Kári, «að eggja sonu þína því að þeir munu þó ærið framgjarnir.»
After that they all talk long in secret, Njal and his sons, and Kari Solmund's son, their brother-in-law.	Eftir það tala þeir lengi hljótt allir feðgar og Kári.
Now there was great talk about this quarrel of theirs, and all seemed to know that it would not settle down peacefully.	Nú verður umræða mikil um deild þeirra og þóttust allir vita að eigi mundi svo gert sjatna.
Runolf, the son of Wolf Aurpriest, east in the Dale, was a great friend of Thrain's, and had asked Thrain to come and see him, and it was settled that he should come east when about three weeks or a month were wanting to winter.	Runólfur son Úlfs aurgoða austur í Dal var vin Þráins mikill og hafði boðið Þráni heim og var á kveðið að hann skyldi koma austur er þrjár vikur væru af vetri eða mánuður.
Thrain bade Hrapp, and Grani, and Gunnar Lambi's son, and Lambi Sigurd's son, and Lodinn, and Tjorvi, eight of them in all, to go on this journey with him.	Þráinn bað til þessar ferðar Hrapp með sér og Grana Gunnarsson, Gunnar Lambason, Lamba Sigurðarson og Loðin og Tjörva. Þeir voru átta.
Hallgerda and Thorgerda were to go too.	Þær skyldu og fara mæðgur Hallgerður og Þorgerður.
At the same time Thrain gave it out that he meant to stay in the Mark with his brother Kettle, and said how many nights he meant to be away from home.	Því lýsti og Þráinn að hann ætlaði að vera í Mörk með Katli bróður sínum og kvað á hversu margar nætur hann ætlaði heiman að vera.
They all of them had full arms.	Þeir höfðu allir alvæpni.
So they rode east across Markfleet, and found there some gangrel women, and they begged them to put them across the Fleet west on their horses, and they did so.	Riðu þeir austur yfir Markarfljót og fundu þar konur snauðar. Þær báðu að þær skyldi reiða vestur yfir fljótið. Þeir gerðu svo.
Then they rode into the Dale, and had a hearty welcome;	Þá riðu þeir í Dal og höfðu þar góðar viðtökur.
there Kettle of the Mark met them, and there they sate two nights.	Þar var fyrir Ketill úr Mörk. Sátu þeir þar tvær nætur.
Both Runolf and Kettle besought Thrain that he would make up his quarrel with Njal's sons; but he said he would never pay any money, and answered crossly, for he said he thought himself quite a match for Njal's sons wherever they met.	Runólfur og Ketill báðu Þráin að hann mundi semja við Njálssonu en hann lést aldrei mundu fé gjalda og svaraði styggt og kveðst hvergi þykjast varbúinn við Njálssonum hvar sem þeir fyndust.
"So it may be," says Runolf; "but so far as I can see, no man has been their match since Gunnar of Lithend died, and it is likelier that ye will both drag one another down to death."	«Vera má að svo sé,» segir Runólfur, «en eg hefi hina skilning að engi sé þeirra maki síð er Gunnar að Hlíðarenda lést og er það líkara að hér dragi öðrum hvorum til bana.»
Then Thrain fared up into the Mark, and was there two nights more;	Þá fór Þráinn upp í Mörk og var þar tvær nætur.
after that he rode down into the Dale, and was sent away from both houses with fitting gifts.	Síðan reið hann ofan í Dal og var hann hvartveggja út leystur með sæmilegum gjöfum.
